date,funding_sum,funding_mean,n
2026-04-22,-0.00013385,-6.6925e-05,2
2026-04-23,0.00030000000000000003,0.0001,3
2026-04-24,-0.00130166,-0.00043388666666666667,3
2026-04-25,0.00015845,5.2816666666666665e-05,3
2026-04-26,-0.00019916,-6.638666666666667e-05,3
2026-04-27,-0.00028857,-9.619e-05,3
2026-04-28,-0.00031132,-0.00010377333333333334,3
2026-04-29,-0.00112738,-0.00037579333333333335,3
2026-04-30,-0.00075043,-0.0002501433333333333,3
2026-05-01,-0.0007625900000000001,-0.0002541966666666667,3
2026-05-02,-0.00038555,-0.00012851666666666668,3
2026-05-03,-0.0013149,-0.0004383,3
2026-05-04,-0.00050131,-0.00016710333333333334,3
2026-05-05,-0.00138522,-0.00046174,3
2026-05-06,-0.00170865,-0.0005695499999999999,3
2026-05-07,-0.00071552,-0.00023850666666666665,3
2026-05-08,-0.00129049,-0.00043016333333333333,3
2026-05-09,-0.00135005,-0.00045001666666666666,3
2026-05-10,-0.00056495,-0.00018831666666666667,3
2026-05-11,-0.00131753,-0.00043917666666666664,3
2026-05-12,-0.00102071,-0.00034023666666666664,3
2026-05-13,-0.0021894,-0.0007298000000000001,3
2026-05-14,-0.00051101,-0.00017033666666666666,3
2026-05-15,-0.00028392,-9.464e-05,3
2026-05-16,-0.00090511,-0.00030170333333333333,3
2026-05-17,-0.0014141,-0.00047136666666666667,3
2026-05-18,-0.00021059,-7.019666666666667e-05,3
2026-05-19,-0.00035338000000000004,-0.00011779333333333335,3
2026-05-20,4.704e-05,1.568e-05,3
2026-05-21,2.359e-05,7.863333333333333e-06,3
2026-05-22,-0.00024321,-8.107e-05,3
2026-05-23,-0.00044858,-0.00014952666666666667,3
2026-05-24,-0.00122919,-0.00040973,3
2026-05-25,-0.00030448,-0.00010149333333333333,3
2026-05-26,-0.00064401,-0.00021467,3
2026-05-27,-0.00093753,-0.00031251,3
2026-05-28,1.551e-05,5.17e-06,3
2026-05-29,-0.00049991,-0.00016663666666666668,3
2026-05-30,-0.0008193200000000001,-0.0002731066666666667,3
2026-05-31,-0.00075442,-0.0002514733333333333,3
2026-06-01,-0.00083013,-0.00027671,3
2026-06-02,-0.00099144,-0.00033047999999999997,3
2026-06-03,-0.00185791,-0.0006193033333333334,3
2026-06-04,-0.00120619,-0.00040206333333333335,3
2026-06-05,-0.00043651,-0.00014550333333333333,3
2026-06-06,5.5690000000000004e-05,1.8563333333333336e-05,3
2026-06-07,-0.00018703,-6.234333333333333e-05,3
2026-06-08,-0.00018608,-6.202666666666667e-05,3
2026-06-09,-0.00016261,-5.420333333333333e-05,3
2026-06-10,-6.932e-05,-2.3106666666666663e-05,3
2026-06-11,4.2600000000000005e-05,1.4200000000000001e-05,3
2026-06-12,-0.00024626,-8.208666666666667e-05,3
2026-06-13,-0.0001838,-6.126666666666666e-05,3
2026-06-14,-0.00023333,-7.777666666666666e-05,3
2026-06-15,0.00013206,4.402e-05,3
2026-06-16,-0.00026247,-8.749e-05,3
2026-06-17,1.7160000000000005e-05,5.720000000000002e-06,3
2026-06-18,-0.00030134,-0.00010044666666666666,3
2026-06-19,-0.00027908,-9.302666666666667e-05,3
2026-06-20,-0.00042364000000000003,-0.00014121333333333335,3
2026-06-21,-0.00041040999999999994,-0.0001368033333333333,3
2026-06-22,-0.00027158,-9.052666666666666e-05,3
2026-06-23,2.409e-05,8.030000000000001e-06,3
2026-06-24,-0.00021198,-7.066e-05,3
2026-06-25,-0.00046037,-0.00015345666666666667,3
2026-06-26,7.256000000000001e-05,2.418666666666667e-05,3
2026-06-27,3.6270000000000003e-05,1.2090000000000001e-05,3
