date,oi,oi_value,toptrader_acc_ls,toptrader_pos_ls,global_acc_ls,taker_ls
2022-09-09,7751858.984732824,3338782.6587039256,,,1.6237892807480623,0.9910148457290077
2022-09-10,16852071.274305556,7449197.011751049,,,2.0861696134284182,0.9718263515399305
2022-09-11,31996183.427083332,13571287.557533465,,,2.345433856583835,1.0078547763038195
2022-09-12,47821504.222222224,17613141.001106452,,,2.232061134378478,1.034004411709028
2022-09-13,59411998.791666664,20662661.76011443,,,1.7375861849024459,1.0043748510274306
2022-09-14,75841350.3298611,23286635.760202363,,,1.2963369214398655,1.0475220101376308
2022-09-15,75578066.62152778,20272201.11617497,,,1.4244144396871286,1.0857514547347222
2022-09-16,86562825.08680555,25407079.7411291,,,1.2074597980726611,1.0567316874774306
2022-09-17,96448064.16666667,29705990.22365792,,,1.1788678134974027,1.0711862692430556
2022-09-18,105053672.4236111,31090121.372091193,,,1.4990974042198661,1.050129510284375
2022-09-19,107455203.1388889,31571280.149451844,,,1.548071213263889,1.0655963679166667
2022-09-20,105629309.76041667,31345487.972972885,,,1.681245034861111,1.0466526605555557
2022-09-21,114086195.36805555,32652410.70745637,,,2.1953076852430558,1.037930763263889
2022-09-22,124562921.37847222,34569186.91829756,,,2.768286514638457,1.0536414324197918
2022-09-23,124046908.15972222,32437070.52511795,,,3.0572278509455266,1.0406044998072916
2022-09-24,123020672.81944445,30059808.12050061,,,2.672682814233353,1.056527444160764
2022-09-25,133528820.5625,29925817.260542043,,,2.86733291958592,1.0503226476284722
2022-09-26,178102634.94791666,48503103.400412664,,,1.076419826608076,1.042564830857639
2022-09-27,187830912.46875,53834392.55733425,,,0.6102445957535669,1.041798016517014
2022-09-28,153227608.96875,42025998.69123736,,,1.0184145022456919,1.0259454077246528
2022-09-29,156623038.0659722,43382479.41759734,,,1.2554277608239455,1.065951652279861
2022-09-30,167285602.8784722,49167450.94233152,,,0.9472889877410408,1.0708341656392362
2022-10-01,168818558.28125,50594590.627355985,,,0.8958846250625742,1.0389367415777777
2022-10-02,187146215.3159722,63530934.318699256,,,0.7988005887747575,1.0318954781958334
2022-10-03,191187342.07291666,61417957.76717325,,,1.285710392917222,1.0214893485229168
2022-10-04,208840300.64583334,64759523.25541295,,,2.01027280629741,1.0125266326381945
2022-10-05,220205022.9375,66765280.59625815,,,2.3165564882108756,0.9866332210059028
