date,funding_sum,funding_mean,n
2026-04-22,0.00016902,8.451e-05,2
2026-04-23,-6.834000000000001e-05,-2.2780000000000006e-05,3
2026-04-24,0.00019044,6.348e-05,3
2026-04-25,0.00026398000000000003,8.799333333333334e-05,3
2026-04-26,5.319000000000001e-05,1.7730000000000005e-05,3
2026-04-27,-0.00032281,-0.00010760333333333333,3
2026-04-28,5.952e-05,1.984e-05,3
2026-04-29,7.029e-05,2.343e-05,3
2026-04-30,-0.00010804,-3.6013333333333336e-05,3
2026-05-01,8.36e-05,2.7866666666666665e-05,3
2026-05-02,-0.0001623,-5.4099999999999994e-05,3
2026-05-03,-8.999999999999999e-05,-2.9999999999999997e-05,3
2026-05-04,0.00018806,6.268666666666667e-05,3
2026-05-05,0.00018747000000000002,6.249e-05,3
2026-05-06,0.00026940000000000004,8.980000000000001e-05,3
2026-05-07,0.00015818,5.272666666666667e-05,3
2026-05-08,0.00025496000000000004,8.498666666666668e-05,3
2026-05-09,0.00018602,6.200666666666667e-05,3
2026-05-10,4.3679999999999995e-05,1.4559999999999998e-05,3
2026-05-11,8.041e-05,2.680333333333333e-05,3
2026-05-12,5.5580000000000007e-05,1.852666666666667e-05,3
2026-05-13,-9.312e-05,-3.104e-05,3
2026-05-14,3.52e-05,1.1733333333333333e-05,3
2026-05-15,-4.715000000000001e-05,-1.5716666666666668e-05,3
2026-05-16,-9.329000000000001e-05,-3.109666666666667e-05,3
2026-05-17,0.00011011000000000001,3.670333333333334e-05,3
2026-05-18,-1.323e-05,-4.41e-06,3
2026-05-19,0.00022169,7.389666666666667e-05,3
2026-05-20,0.00012693,4.231e-05,3
2026-05-21,7.044e-05,2.348e-05,3
2026-05-22,0.00021975,7.325e-05,3
2026-05-23,-5.181000000000001e-05,-1.7270000000000002e-05,3
2026-05-24,0.00022406,7.468666666666666e-05,3
2026-05-25,0.00014895000000000002,4.965000000000001e-05,3
2026-05-26,0.00015326,5.1086666666666667e-05,3
2026-05-27,3.5239999999999995e-05,1.1746666666666665e-05,3
2026-05-28,-0.00017527,-5.8423333333333334e-05,3
2026-05-29,9.327e-05,3.109e-05,3
2026-05-30,0.00021144,7.048e-05,3
2026-05-31,0.00015917,5.305666666666667e-05,3
2026-06-01,0.00011243,3.7476666666666666e-05,3
2026-06-02,5.6470000000000007e-05,1.8823333333333337e-05,3
2026-06-03,-3.2600000000000044e-06,-1.0866666666666682e-06,3
2026-06-04,-6.315e-05,-2.105e-05,3
2026-06-05,-4.154e-05,-1.3846666666666666e-05,3
2026-06-06,-9.233e-05,-3.0776666666666666e-05,3
2026-06-07,-0.0001252,-4.1733333333333336e-05,3
2026-06-08,-5.256e-05,-1.7519999999999998e-05,3
2026-06-09,-0.00010781999999999998,-3.593999999999999e-05,3
2026-06-10,-0.00011632999999999999,-3.8776666666666664e-05,3
2026-06-11,-1.1309999999999998e-05,-3.7699999999999995e-06,3
2026-06-12,-0.00012369,-4.123e-05,3
2026-06-13,-2.6779999999999998e-05,-8.926666666666665e-06,3
2026-06-14,-0.0003,-9.999999999999999e-05,3
2026-06-15,4.749e-05,1.583e-05,3
2026-06-16,-0.00016093,-5.364333333333333e-05,3
2026-06-17,0.00013365,4.455e-05,3
2026-06-18,-0.00047966999999999997,-0.00015989,3
2026-06-19,-0.00040961999999999997,-0.00013654,3
2026-06-20,-0.0002698,-8.993333333333333e-05,3
2026-06-21,-0.0001908,-6.36e-05,3
2026-06-22,-1.668e-05,-5.56e-06,3
2026-06-23,-9.35e-06,-3.1166666666666668e-06,3
2026-06-24,5.271e-05,1.757e-05,3
2026-06-25,-4.619e-05,-1.5396666666666668e-05,3
2026-06-26,1.889e-05,6.296666666666667e-06,3
2026-06-27,0.00028606,9.535333333333333e-05,3
