date,funding_sum,funding_mean,n
2026-04-22,0.0002,0.0001,2
2026-04-23,5.976e-05,1.992e-05,3
2026-04-24,9.101e-05,3.0336666666666667e-05,3
2026-04-25,0.00016669,5.556333333333333e-05,3
2026-04-26,1.2479999999999999e-05,4.16e-06,3
2026-04-27,1.6230000000000002e-05,5.410000000000001e-06,3
2026-04-28,0.00015041999999999999,5.014e-05,3
2026-04-29,0.00021759,7.253e-05,3
2026-04-30,9.89e-05,3.296666666666667e-05,3
2026-05-01,8.926e-05,2.9753333333333332e-05,3
2026-05-02,5.5900000000000004e-05,1.8633333333333333e-05,3
2026-05-03,8.807e-05,2.9356666666666666e-05,3
2026-05-04,0.00016805,5.601666666666666e-05,3
2026-05-05,0.000201,6.7e-05,3
2026-05-06,0.00011436000000000001,3.812e-05,3
2026-05-07,3.542999999999999e-05,1.1809999999999997e-05,3
2026-05-08,-6.501e-05,-2.167e-05,3
2026-05-09,-0.00031429,-0.00010476333333333333,3
2026-05-10,-9.609000000000001e-05,-3.203e-05,3
2026-05-11,-0.00012125999999999999,-4.0419999999999996e-05,3
2026-05-12,-0.00031687,-0.00010562333333333334,3
2026-05-13,-0.00039183,-0.00013061,3
2026-05-14,-0.00016195,-5.3983333333333335e-05,3
2026-05-15,-0.00026877,-8.959e-05,3
2026-05-16,-0.00016648,-5.549333333333333e-05,3
2026-05-17,-0.00024806000000000003,-8.268666666666668e-05,3
2026-05-18,-0.00103616,-0.00034538666666666663,3
2026-05-19,-0.00084023,-0.0002800766666666667,3
2026-05-20,-0.0006234599999999999,-0.00020781999999999997,3
2026-05-21,-0.00018972000000000002,-6.324000000000001e-05,3
2026-05-22,-0.00028202,-9.400666666666668e-05,3
2026-05-23,-0.00113226,-0.00037742,3
2026-05-24,-0.00161837,-0.0005394566666666666,3
2026-05-25,-0.00133007,-0.0004433566666666667,3
2026-05-26,-0.00104738,-0.0003491266666666667,3
2026-05-27,-0.00069383,-0.00023127666666666665,3
2026-05-28,-0.00069698,-0.00023232666666666668,3
2026-05-29,-0.00143827,-0.0004794233333333333,3
2026-05-30,-0.00042875,-0.00014291666666666665,3
2026-05-31,-0.00059392,-0.00019797333333333332,3
2026-06-01,-0.00128202,-0.00042734,3
2026-06-02,-0.0011589500000000002,-0.00038631666666666674,3
2026-06-03,-0.00019260000000000002,-6.42e-05,3
2026-06-04,2.913e-05,9.71e-06,3
2026-06-05,-0.00028722000000000003,-9.574000000000002e-05,3
2026-06-06,-0.00043272,-0.00014424,3
2026-06-07,-0.00016597999999999998,-5.532666666666666e-05,3
2026-06-08,-1.5789999999999996e-05,-5.263333333333332e-06,3
2026-06-09,0.00015885,5.2950000000000006e-05,3
2026-06-10,7.457e-05,2.4856666666666665e-05,3
2026-06-11,-5.2459999999999996e-05,-1.7486666666666666e-05,3
2026-06-12,-2.3410000000000005e-05,-7.803333333333335e-06,3
2026-06-13,5.18e-05,1.7266666666666665e-05,3
2026-06-14,-0.00012652,-4.217333333333333e-05,3
2026-06-15,2.5630000000000004e-05,8.543333333333335e-06,3
2026-06-16,-0.00029865,-9.955000000000001e-05,3
2026-06-17,-0.00042066,-0.00014022,3
2026-06-18,-0.0005438,-0.00018126666666666666,3
2026-06-19,-0.00062018,-0.00020672666666666668,3
2026-06-20,-0.00035468,-0.00011822666666666667,3
2026-06-21,-0.00052941,-0.00017647,3
2026-06-22,-0.00043507999999999996,-0.00014502666666666664,3
2026-06-23,-4.1339999999999994e-05,-1.3779999999999999e-05,3
2026-06-24,-0.00028514999999999997,-9.504999999999999e-05,3
2026-06-25,-0.0002321,-7.736666666666667e-05,3
2026-06-26,9.340000000000002e-06,3.113333333333334e-06,3
2026-06-27,-5.154e-05,-1.7179999999999998e-05,3
