date,oi,oi_value,toptrader_acc_ls,toptrader_pos_ls,global_acc_ls,taker_ls
2021-12-01,100868.26434722223,57993943.31849231,2.786654971770265,0.9596252824114584,3.2121933527503277,1.1334368820190972
2021-12-02,100291.46127083333,56714863.69889182,3.3206178442349024,0.9643736371100695,3.633004430721278,1.0930932241875
2021-12-03,107471.40435416666,59545949.02260672,3.857648933438705,0.9312909859249999,4.180248327486388,1.045758724102778
2021-12-04,97677.83686315789,46262159.03025806,2.544482930705785,0.8431337293736842,2.743300480887197,1.0639271827684211
2021-12-05,94955.27654513888,43615874.08201262,2.1129604942807,0.8218870079020832,2.2476365388442154,1.096759114479514
2021-12-06,95130.00334375,42495698.64743065,2.0891416578381605,0.8325241632239584,2.1669718669896336,1.0816681220576387
2021-12-07,91148.27757986111,43228327.534192525,1.8161013038794591,0.8182262397920139,1.8913091948624086,1.1213094240125001
2021-12-08,86367.60511458333,41092834.7108746,1.8795231477332672,0.81671698781875,1.9712136512144403,1.0589394616381944
2021-12-09,89632.18123611111,41451037.85123722,2.1452519730390716,0.801959380940625,2.3088286087485277,1.1418789835711807
2021-12-10,98013.37672916666,44351247.39928348,2.3212001380352176,0.8324191189906249,2.4599033997676507,1.117634887139236
2021-12-11,92399.78406597223,41783323.26402036,2.1423760281061153,0.801435177611111,2.2737001115516353,1.1409549722947918
2021-12-12,89431.88011111111,40544007.46530993,2.064218979544912,0.7847520888628472,2.214883795204462,1.1346408325270834
2021-12-13,92274.7557048611,40487805.49970932,2.674465503761736,0.7760059734121527,2.9283419123827192,1.0617600951770834
2021-12-14,94024.50741666666,40373093.53491669,2.632583653755323,0.7704045250111111,2.7880707670384,1.0716015850180556
2021-12-15,90583.11367595819,39284405.09816329,2.4908604625070163,0.784544789030662,2.589646789335088,1.0887800607763065
2021-12-16,87877.1142326389,39148639.935251124,1.9130878326726952,0.8103949490253473,1.9659088476883666,1.066390783213889
2021-12-17,95026.24596527778,41002883.78047088,2.357031549565359,0.797337575103125,2.490911795356577,1.0773147630149305
2021-12-18,94709.02514236112,40967178.09785082,2.2613019878426623,0.8037876451548611,2.369518423855501,1.2005605747399306
2021-12-19,90548.42201736111,39618074.01423,1.8390998442697455,0.8184532393302084,1.9390149783551207,1.13979689996875
2021-12-20,94022.96394791667,40254701.46898268,2.1382558500046667,0.8038449878256944,2.332981923871555,1.1466177787309029
2021-12-21,93250.93163888888,40572502.678919464,2.078910909574489,0.8340412752847223,2.2041586560031474,1.1142522610170138
2021-12-22,100782.34210763889,44420124.56951919,1.945405455235694,0.8469431807604166,2.1369727514988686,1.0498284693840276
2021-12-23,102587.00378819444,45502492.360093415,2.107211449588787,0.8527870493729167,2.2883258126550987,1.1234538425739582
2021-12-24,102203.35919163763,46611339.64632522,2.126851736121731,0.8913019834818815,2.2206013947355263,1.1309918276560975
2021-12-25,103603.03755902778,47024109.2762787,2.1390191469957274,0.8943534133218749,2.2834221123864586,1.155004382892014
2021-12-26,103315.62575,46504856.31752784,2.3871399707326586,0.8826822343878473,2.581532302863407,1.0110330313138889
2021-12-27,105126.27474305555,48452270.070648745,2.088029751094315,0.9010130095625001,2.1979441028452595,1.2326497399503473
2021-12-28,98794.88869791667,44517598.482499465,2.4579088958719257,0.8929322896854166,2.5734623717791703,1.0121063367013887
2021-12-29,96736.90549128919,42460520.53824177,3.112424688756446,0.8633026103195123,3.3002212986902864,1.1506691303299652
2021-12-30,95990.28890972222,41392040.47537318,2.4137339160554205,0.8587204245325714,2.547869633302705,1.1900507943217142
2021-12-31,96985.71348780488,41745009.58258422,,,,
2022-01-01,97928.41496180555,42941180.81399814,,,,
2022-01-02,99257.92233680555,44345753.08852201,,,,
2022-01-03,96359.20869791666,42511453.30088154,,,,
2022-01-04,93883.5413888889,40529146.41383426,,,,
2022-01-05,93615.73262152779,39695482.71624251,,,,
2022-01-06,98285.03872916667,38903435.78075734,,,,
2022-01-07,100069.5890138889,39013817.10441294,,,,
2022-01-08,101341.72597569444,38807730.560751095,,,,
2022-01-09,100814.54027430556,37861929.189121075,,,,
2022-01-10,102947.6568923611,37825318.46908321,,,,
2022-01-11,104293.14202777778,38279864.46280301,,,,
2022-01-12,107177.18276736111,40287101.22713804,,,,
2022-01-13,107497.7519861111,41242342.32041543,,,,
2022-01-14,116238.37237152777,44810656.212875515,,,,
2022-01-15,115025.86866666666,44685998.18676025,,,,
2022-01-16,114404.68730555555,44400918.43030545,,,,
2022-01-17,116157.48144097223,44153405.50325977,,,,
2022-01-18,120298.26267361111,45962918.28973988,,,,
2022-01-19,115537.77815277777,43104894.614490956,,,3.2441529974397967,
2022-01-20,113648.59023958334,42382737.40979547,,,2.9822074576717426,
2022-01-21,116143.98945138889,39419924.256015025,,,4.061985910301664,
2022-01-22,108681.68815624999,32147727.665621478,,,2.9228578660796964,
2022-01-23,103601.13018749999,30323455.527953524,,,2.428417769392758,
2022-01-24,116939.26956597221,33170723.889603138,,,2.20433251519978,
2022-01-25,114424.48506597223,33063467.018284366,,,2.135733104328932,
2022-01-26,114704.75859722222,33961448.894323766,,,2.0570150610737463,
2022-01-27,115488.46029861111,33098930.62823953,,,2.3017483286435536,
