date,funding_sum,funding_mean,n
2026-04-22,0.0001342,6.71e-05,2
2026-04-23,1.259e-05,4.196666666666667e-06,3
2026-04-24,0.00010619000000000001,3.539666666666667e-05,3
2026-04-25,3.157e-05,1.0523333333333333e-05,3
2026-04-26,3.891e-05,1.297e-05,3
2026-04-27,2.096e-05,6.986666666666666e-06,3
2026-04-28,4.102e-05,1.3673333333333332e-05,3
2026-04-29,4.604e-05,1.5346666666666667e-05,3
2026-04-30,6.97e-06,2.3233333333333333e-06,3
2026-05-01,3.437e-05,1.1456666666666667e-05,3
2026-05-02,7.156e-05,2.3853333333333334e-05,3
2026-05-03,7.591e-05,2.5303333333333332e-05,3
2026-05-04,0.00015671,5.223666666666667e-05,3
2026-05-05,0.00019185,6.395e-05,3
2026-05-06,0.00022298,7.432666666666667e-05,3
2026-05-07,0.00020367,6.789e-05,3
2026-05-08,8.91e-06,2.97e-06,3
2026-05-09,0.0002032,6.773333333333333e-05,3
2026-05-10,0.0001057,3.5233333333333334e-05,3
2026-05-11,0.00010057999999999999,3.3526666666666665e-05,3
2026-05-12,0.00022313999999999998,7.437999999999999e-05,3
2026-05-13,0.00019606000000000002,6.535333333333334e-05,3
2026-05-14,0.0,0.0,3
2026-05-15,0.00012416,4.138666666666667e-05,3
2026-05-16,0.0,0.0,3
2026-05-17,3.265e-05,1.0883333333333333e-05,3
2026-05-18,4.297e-05,1.4323333333333332e-05,3
2026-05-19,1.483e-05,4.943333333333333e-06,3
2026-05-20,0.00014749,4.916333333333334e-05,3
2026-05-21,0.000162,5.4000000000000005e-05,3
2026-05-22,6.0740000000000005e-05,2.0246666666666667e-05,3
2026-05-23,2.14e-06,7.133333333333333e-07,3
2026-05-24,0.00018806999999999998,6.269e-05,3
2026-05-25,0.00011360999999999999,3.7869999999999995e-05,3
2026-05-26,8.192e-05,2.7306666666666667e-05,3
2026-05-27,0.00017333000000000002,5.777666666666667e-05,3
2026-05-28,5.788e-05,1.9293333333333334e-05,3
2026-05-29,7.942000000000001e-05,2.6473333333333336e-05,3
2026-05-30,0.00026569,8.856333333333333e-05,3
2026-05-31,1.15e-06,3.8333333333333335e-07,3
2026-06-01,9.172e-05,3.0573333333333334e-05,3
2026-06-02,0.00016656,5.5520000000000004e-05,3
2026-06-03,0.00013105000000000001,4.3683333333333336e-05,3
2026-06-04,5.166e-05,1.7219999999999998e-05,3
2026-06-05,4.098e-05,1.366e-05,3
2026-06-06,6.864e-05,2.2879999999999998e-05,3
2026-06-07,0.0,0.0,3
2026-06-08,0.0,0.0,3
2026-06-09,0.0,0.0,3
2026-06-10,8.6e-06,2.866666666666667e-06,3
2026-06-11,4.668e-05,1.556e-05,3
2026-06-12,9.292e-05,3.097333333333333e-05,3
2026-06-13,4.204e-05,1.4013333333333332e-05,3
2026-06-14,0.0,0.0,3
2026-06-15,6.607e-05,2.2023333333333333e-05,3
2026-06-16,0.0,0.0,3
2026-06-17,0.00014523,4.841e-05,3
2026-06-18,5.822e-05,1.940666666666667e-05,3
2026-06-19,0.0,0.0,3
2026-06-20,6.075e-05,2.025e-05,3
2026-06-21,5.515e-05,1.8383333333333334e-05,3
2026-06-22,0.0,0.0,3
2026-06-23,0.0,0.0,3
2026-06-24,0.0,0.0,3
2026-06-25,0.0,0.0,3
2026-06-26,0.0,0.0,3
2026-06-27,0.00017056,5.685333333333333e-05,3
