date,funding_sum,funding_mean,n
2026-04-22,5.744e-05,2.872e-05,2
2026-04-23,0.0001551,5.17e-05,3
2026-04-24,0.00015461,5.153666666666667e-05,3
2026-04-25,0.00026938,8.979333333333333e-05,3
2026-04-26,0.00019491000000000002,6.497000000000001e-05,3
2026-04-27,4.1099999999999996e-05,1.37e-05,3
2026-04-28,0.00013092,4.364e-05,3
2026-04-29,-2.34e-05,-7.8e-06,3
2026-04-30,-9.617999999999999e-05,-3.2059999999999995e-05,3
2026-05-01,1.5999999999999847e-07,5.3333333333332825e-08,3
2026-05-02,0.00012578,4.1926666666666666e-05,3
2026-05-03,-1.8459999999999996e-05,-6.153333333333332e-06,3
2026-05-04,0.00012341,4.113666666666667e-05,3
2026-05-05,3.929999999999998e-06,1.3099999999999993e-06,3
2026-05-06,0.00017796,5.932e-05,3
2026-05-07,0.00018793,6.264333333333334e-05,3
2026-05-08,0.00027166,9.055333333333333e-05,3
2026-05-09,0.00023879,7.959666666666667e-05,3
2026-05-10,-9.248e-05,-3.082666666666667e-05,3
2026-05-11,0.00017481000000000002,5.827e-05,3
2026-05-12,1.0969999999999998e-05,3.6566666666666662e-06,3
2026-05-13,0.00018571,6.190333333333334e-05,3
2026-05-14,0.00016227,5.409e-05,3
2026-05-15,4.983e-05,1.6610000000000002e-05,3
2026-05-16,0.0001481,4.936666666666666e-05,3
2026-05-17,0.00017538,5.846e-05,3
2026-05-18,0.00026529,8.843e-05,3
2026-05-19,0.00023981000000000002,7.993666666666667e-05,3
2026-05-20,0.00014125,4.708333333333333e-05,3
2026-05-21,6.555000000000001e-05,2.1850000000000003e-05,3
2026-05-22,3.808e-05,1.2693333333333334e-05,3
2026-05-23,-0.00047342,-0.00015780666666666667,3
2026-05-24,-0.00084334,-0.00028111333333333336,3
2026-05-25,-4.07e-05,-1.3566666666666667e-05,3
2026-05-26,0.00012681000000000001,4.227000000000001e-05,3
2026-05-27,0.0002436,8.120000000000001e-05,3
2026-05-28,-0.00010714,-3.571333333333333e-05,3
2026-05-29,3.7439999999999994e-05,1.2479999999999997e-05,3
2026-05-30,-0.0002929,-9.763333333333334e-05,3
2026-05-31,-0.00028207,-9.402333333333332e-05,3
2026-06-01,0.00030000000000000003,0.0001,3
2026-06-02,0.00030000000000000003,0.0001,3
2026-06-03,0.00020242,6.747333333333333e-05,3
2026-06-04,-0.00111844,-0.00037281333333333337,3
2026-06-05,-0.00084513,-0.00028171,3
2026-06-06,-0.0003706,-0.00012353333333333335,3
2026-06-07,-0.00023671,-7.890333333333333e-05,3
2026-06-08,-0.00052671,-0.00017557,3
2026-06-09,-0.00041501,-0.00013833666666666667,3
2026-06-10,-1.1369999999999994e-05,-3.789999999999998e-06,3
2026-06-11,-0.00034359,-0.00011453,3
2026-06-12,-0.00114421,-0.00038140333333333337,3
2026-06-13,-0.00175394,-0.0005846466666666667,3
2026-06-14,-0.00130678,-0.00043559333333333334,3
2026-06-15,-0.00054123,-0.00018041,3
2026-06-16,-0.00167024,-0.0005567466666666666,3
2026-06-17,-0.0005982,-0.0001994,3
2026-06-18,-0.00166914,-0.00055638,3
2026-06-19,-0.00143787,-0.00047929,3
2026-06-20,-0.00050954,-0.00016984666666666664,3
2026-06-21,-0.00068453,-0.0002281766666666667,3
2026-06-22,-0.0009326499999999999,-0.0003108833333333333,3
2026-06-23,-0.0005062399999999999,-0.00016874666666666664,3
2026-06-24,-0.00012303,-4.1009999999999995e-05,3
2026-06-25,-0.00032638,-0.00010879333333333332,3
2026-06-26,-0.00038302,-0.00012767333333333332,3
2026-06-27,-0.00036945,-0.00012315,3
