date,funding_sum,funding_mean,n
2026-04-22,0.0002,0.0001,2
2026-04-23,0.00026031000000000003,8.677000000000001e-05,3
2026-04-24,0.00030000000000000003,0.0001,3
2026-04-25,0.0002582,8.606666666666667e-05,3
2026-04-26,0.00014623000000000001,4.874333333333334e-05,3
2026-04-27,5.3099999999999996e-05,1.77e-05,3
2026-04-28,0.00030000000000000003,0.0001,3
2026-04-29,0.00024318,8.106e-05,3
2026-04-30,6.901e-05,2.3003333333333334e-05,3
2026-05-01,4.4420000000000005e-05,1.4806666666666668e-05,3
2026-05-02,3.18e-05,1.06e-05,3
2026-05-03,9.338e-05,3.112666666666667e-05,3
2026-05-04,0.00010682,3.5606666666666666e-05,3
2026-05-05,0.0001246,4.153333333333333e-05,3
2026-05-06,5.188999999999999e-05,1.7296666666666663e-05,3
2026-05-07,-5.740000000000001e-05,-1.913333333333334e-05,3
2026-05-08,-2.7120000000000005e-05,-9.040000000000002e-06,3
2026-05-09,0.00013611,4.537e-05,3
2026-05-10,-4.151e-05,-1.3836666666666667e-05,3
2026-05-11,0.00029789,9.929666666666666e-05,3
2026-05-12,0.00026359,8.786333333333334e-05,3
2026-05-13,0.00030000000000000003,0.0001,3
2026-05-14,7.992999999999999e-05,2.664333333333333e-05,3
2026-05-15,-0.00017399,-5.7996666666666666e-05,3
2026-05-16,5.145e-05,1.715e-05,3
2026-05-17,0.00015031,5.010333333333333e-05,3
2026-05-18,-6.747e-05,-2.249e-05,3
2026-05-19,-2.41e-05,-8.033333333333333e-06,3
2026-05-20,3.7330000000000003e-05,1.2443333333333335e-05,3
2026-05-21,7e-05,2.3333333333333332e-05,3
2026-05-22,0.00018395,6.131666666666666e-05,3
2026-05-23,2.663e-05,8.876666666666668e-06,3
2026-05-24,0.00014664,4.888e-05,3
2026-05-25,0.00015234,5.078e-05,3
2026-05-26,0.00014208,4.736e-05,3
2026-05-27,0.00012172,4.057333333333333e-05,3
2026-05-28,-4.248e-05,-1.416e-05,3
2026-05-29,0.00022898000000000002,7.632666666666667e-05,3
2026-05-30,0.00012126,4.042e-05,3
2026-05-31,0.00018696,6.232e-05,3
2026-06-01,0.00018644,6.214666666666667e-05,3
2026-06-02,9.822e-05,3.274e-05,3
2026-06-03,0.00013181,4.393666666666667e-05,3
2026-06-04,5.579e-05,1.8596666666666668e-05,3
2026-06-05,-3.7290000000000004e-05,-1.2430000000000001e-05,3
2026-06-06,0.00011627,3.875666666666667e-05,3
2026-06-07,-5.141e-05,-1.7136666666666665e-05,3
2026-06-08,6.464e-05,2.1546666666666668e-05,3
2026-06-09,1.7519999999999995e-05,5.839999999999998e-06,3
2026-06-10,6.262e-05,2.0873333333333332e-05,3
2026-06-11,0.00015611,5.203666666666666e-05,3
2026-06-12,4.136999999999999e-05,1.3789999999999997e-05,3
2026-06-13,0.00013252,4.417333333333334e-05,3
2026-06-14,3.772e-05,1.2573333333333332e-05,3
2026-06-15,0.00024813,8.271e-05,3
2026-06-16,-3.915e-05,-1.305e-05,3
2026-06-17,8.352e-05,2.784e-05,3
2026-06-18,2.020000000000001e-06,6.733333333333337e-07,3
2026-06-19,-3.139e-05,-1.0463333333333334e-05,3
2026-06-20,-4.459e-05,-1.4863333333333332e-05,3
2026-06-21,2.3890000000000003e-05,7.963333333333334e-06,3
2026-06-22,6.134e-05,2.044666666666667e-05,3
2026-06-23,-0.00013168,-4.3893333333333335e-05,3
2026-06-24,-0.00014168,-4.722666666666667e-05,3
2026-06-25,9.11e-05,3.036666666666667e-05,3
2026-06-26,0.00014459,4.8196666666666665e-05,3
2026-06-27,8.308e-05,2.769333333333333e-05,3
