date,funding_sum,funding_mean,n
2026-04-22,0.00010877,5.4385e-05,2
2026-04-23,-0.00064209,-0.00021403,3
2026-04-24,-0.00056739,-0.00018913,3
2026-04-25,0.00015048,5.016e-05,3
2026-04-26,-8.469e-05,-2.8230000000000002e-05,3
2026-04-27,-0.00046077,-0.00015359,3
2026-04-28,-0.00016863,-5.621e-05,3
2026-04-29,0.00010361,3.453666666666667e-05,3
2026-04-30,-0.000406,-0.00013533333333333333,3
2026-05-01,-3.240000000000003e-06,-1.0800000000000009e-06,3
2026-05-02,-0.00027777,-9.258999999999999e-05,3
2026-05-03,-2.3699999999999926e-06,-7.899999999999975e-07,3
2026-05-04,0.00023136,7.712000000000001e-05,3
2026-05-05,0.00030000000000000003,0.0001,3
2026-05-06,0.00030000000000000003,0.0001,3
2026-05-07,0.00019308000000000001,6.436e-05,3
2026-05-08,0.00024125999999999998,8.041999999999999e-05,3
2026-05-09,0.00022613,7.537666666666667e-05,3
2026-05-10,1.3370000000000002e-05,4.4566666666666675e-06,3
2026-05-11,0.00018085,6.028333333333333e-05,3
2026-05-12,-8.920000000000001e-06,-2.973333333333334e-06,3
2026-05-13,-4.022e-05,-1.3406666666666666e-05,3
2026-05-14,2.919999999999999e-05,9.73333333333333e-06,3
2026-05-15,7.592e-05,2.530666666666667e-05,3
2026-05-16,-0.00011415999999999999,-3.805333333333333e-05,3
2026-05-17,5.196000000000001e-05,1.7320000000000004e-05,3
2026-05-18,-6.255e-05,-2.0850000000000002e-05,3
2026-05-19,0.00023384000000000002,7.794666666666667e-05,3
2026-05-20,0.00014379,4.7930000000000004e-05,3
2026-05-21,0.00014951,4.983666666666666e-05,3
2026-05-22,0.00030000000000000003,0.0001,3
2026-05-23,-8.128000000000001e-05,-2.7093333333333337e-05,3
2026-05-24,9.335e-05,3.1116666666666666e-05,3
2026-05-25,8.084e-05,2.6946666666666667e-05,3
2026-05-26,0.00015393,5.131e-05,3
2026-05-27,-0.00021757,-7.252333333333333e-05,3
2026-05-28,-0.00032356,-0.00010785333333333335,3
2026-05-29,3.2199999999999997e-06,1.0733333333333332e-06,3
2026-05-30,-5.660000000000003e-06,-1.8866666666666677e-06,3
2026-05-31,-0.00014301,-4.767e-05,3
2026-06-01,8.66e-05,2.886666666666667e-05,3
2026-06-02,-0.00019625,-6.541666666666667e-05,3
2026-06-03,-5.235999999999999e-05,-1.745333333333333e-05,3
2026-06-04,-0.0002762,-9.206666666666666e-05,3
2026-06-05,-0.00032819,-0.00010939666666666668,3
2026-06-06,-0.00045527,-0.00015175666666666668,3
2026-06-07,-3.0980000000000005e-05,-1.0326666666666669e-05,3
2026-06-08,0.00012612,4.204e-05,3
2026-06-09,-0.00022076000000000002,-7.358666666666668e-05,3
2026-06-10,5.9130000000000005e-05,1.9710000000000003e-05,3
2026-06-11,8.439e-05,2.813e-05,3
2026-06-12,-8.619000000000001e-05,-2.8730000000000004e-05,3
2026-06-13,-6.262999999999999e-05,-2.0876666666666663e-05,3
2026-06-14,-0.00041427,-0.00013809,3
2026-06-15,0.00024717,8.239e-05,3
2026-06-16,0.00016350000000000002,5.45e-05,3
2026-06-17,0.00012879,4.293e-05,3
2026-06-18,-0.00012107,-4.0356666666666666e-05,3
2026-06-19,7.53e-05,2.51e-05,3
2026-06-20,-0.00034606999999999997,-0.00011535666666666665,3
2026-06-21,0.00028215,9.405e-05,3
2026-06-22,1.2079999999999998e-05,4.026666666666666e-06,3
2026-06-23,-0.00036709000000000004,-0.00012236333333333335,3
2026-06-24,7.826e-05,2.6086666666666665e-05,3
2026-06-25,0.00013514,4.504666666666667e-05,3
2026-06-26,-8.270000000000014e-06,-2.7566666666666715e-06,3
2026-06-27,-8.508999999999999e-05,-2.836333333333333e-05,3
