date,funding_sum,funding_mean,n
2026-04-22,0.00017797,8.8985e-05,2
2026-04-23,1.9910000000000004e-05,6.636666666666668e-06,3
2026-04-24,-0.0002277,-7.59e-05,3
2026-04-25,-0.00010959,-3.653e-05,3
2026-04-26,-5.904e-05,-1.9679999999999998e-05,3
2026-04-27,-0.00022093999999999998,-7.364666666666666e-05,3
2026-04-28,-0.00027757,-9.252333333333333e-05,3
2026-04-29,0.0001229,4.096666666666667e-05,3
2026-04-30,-0.00018445,-6.148333333333334e-05,3
2026-05-01,-8.008e-05,-2.6693333333333334e-05,3
2026-05-02,-4.6439999999999996e-05,-1.5479999999999997e-05,3
2026-05-03,0.00010639,3.5463333333333337e-05,3
2026-05-04,0.00012744,4.248000000000001e-05,3
2026-05-05,-0.00010887,-3.629e-05,3
2026-05-06,-0.00016602,-5.534e-05,3
2026-05-07,-0.00022897,-7.632333333333333e-05,3
2026-05-08,-7.175000000000001e-05,-2.391666666666667e-05,3
2026-05-09,0.00019273,6.424333333333334e-05,3
2026-05-10,0.00024982,8.327333333333333e-05,3
2026-05-11,0.00012813,4.271e-05,3
2026-05-12,8.61e-05,2.8700000000000003e-05,3
2026-05-13,6.914e-05,2.3046666666666667e-05,3
2026-05-14,0.00015413999999999998,5.137999999999999e-05,3
2026-05-15,1.092e-05,3.6400000000000003e-06,3
2026-05-16,0.00018069,6.0230000000000004e-05,3
2026-05-17,0.00017357,5.785666666666667e-05,3
2026-05-18,7.736e-05,2.5786666666666668e-05,3
2026-05-19,0.00019275,6.425e-05,3
2026-05-20,0.00013864,4.621333333333333e-05,3
2026-05-21,0.00012236000000000001,4.0786666666666674e-05,3
2026-05-22,0.00013962,4.654e-05,3
2026-05-23,0.00016546,5.515333333333333e-05,3
2026-05-24,0.00020254,6.751333333333334e-05,3
2026-05-25,0.00014116,4.705333333333334e-05,3
2026-05-26,0.00010659,3.553e-05,3
2026-05-27,0.0001652,5.5066666666666666e-05,3
2026-05-28,7.947999999999999e-05,2.649333333333333e-05,3
2026-05-29,0.00022188,7.396e-05,3
2026-05-30,0.00017087,5.695666666666666e-05,3
2026-05-31,0.00018313999999999998,6.104666666666667e-05,3
2026-06-01,0.00021356,7.118666666666667e-05,3
2026-06-02,0.00025699,8.566333333333334e-05,3
2026-06-03,0.00019244,6.414666666666666e-05,3
2026-06-04,0.00016079,5.359666666666667e-05,3
2026-06-05,-5.846e-05,-1.9486666666666668e-05,3
2026-06-06,-0.00014539000000000002,-4.846333333333334e-05,3
2026-06-07,-0.00016341,-5.4470000000000005e-05,3
2026-06-08,-0.00019349,-6.449666666666667e-05,3
2026-06-09,-9.652e-05,-3.217333333333333e-05,3
2026-06-10,-0.00011788,-3.929333333333333e-05,3
2026-06-11,-5.3620000000000005e-05,-1.7873333333333334e-05,3
2026-06-12,-0.00010474,-3.491333333333334e-05,3
2026-06-13,5.5950000000000005e-05,1.8650000000000003e-05,3
2026-06-14,-3.643e-05,-1.2143333333333335e-05,3
2026-06-15,9.042e-05,3.0140000000000003e-05,3
2026-06-16,4.059e-05,1.3530000000000001e-05,3
2026-06-17,4.64e-05,1.546666666666667e-05,3
2026-06-18,4.626e-05,1.542e-05,3
2026-06-19,4.457e-05,1.4856666666666668e-05,3
2026-06-20,8.884e-05,2.9613333333333333e-05,3
2026-06-21,6.251e-05,2.0836666666666667e-05,3
2026-06-22,6.610000000000001e-05,2.2033333333333335e-05,3
2026-06-23,-1.149e-05,-3.83e-06,3
2026-06-24,6.834e-05,2.278e-05,3
2026-06-25,-3.311e-05,-1.1036666666666667e-05,3
2026-06-26,-3.1110000000000005e-05,-1.0370000000000002e-05,3
2026-06-27,2.979e-05,9.93e-06,3
