date,funding_sum,funding_mean,n
2026-04-22,-5.188e-05,-2.594e-05,2
2026-04-23,-0.00123605,-0.00041201666666666666,3
2026-04-24,-0.00024145,-8.048333333333333e-05,3
2026-04-25,-0.00020666,-6.888666666666667e-05,3
2026-04-26,3.496e-05,1.1653333333333332e-05,3
2026-04-27,-0.00170382,-0.00056794,3
2026-04-28,-0.0013628099999999999,-0.00045426999999999995,3
2026-04-29,-0.00062928,-0.00020976,3
2026-04-30,-6.547000000000001e-05,-2.1823333333333335e-05,3
2026-05-01,-9.132000000000001e-05,-3.0440000000000003e-05,3
2026-05-02,-0.00016056000000000002,-5.352000000000001e-05,3
2026-05-03,-0.00016157999999999998,-5.3859999999999996e-05,3
2026-05-04,-0.00035838000000000005,-0.00011946000000000001,3
2026-05-05,4.335000000000001e-05,1.4450000000000004e-05,3
2026-05-06,0.00014341,4.780333333333334e-05,3
2026-05-07,0.00013336,4.445333333333334e-05,3
2026-05-08,3.662e-05,1.2206666666666666e-05,3
2026-05-09,-4.1229999999999997e-05,-1.3743333333333333e-05,3
2026-05-10,-8.741e-05,-2.913666666666667e-05,3
2026-05-11,4.317e-05,1.4390000000000001e-05,3
2026-05-12,-0.00027451,-9.150333333333333e-05,3
2026-05-13,2.1610000000000005e-05,7.203333333333335e-06,3
2026-05-14,-0.00018671999999999997,-6.223999999999999e-05,3
2026-05-15,-0.00063307,-0.00021102333333333334,3
2026-05-16,-0.00039101,-0.00013033666666666666,3
2026-05-17,-0.00040852,-0.00013617333333333333,3
2026-05-18,-0.0005572,-0.00018573333333333334,3
2026-05-19,-0.00016732,-5.577333333333333e-05,3
2026-05-20,-0.00017344000000000002,-5.781333333333334e-05,3
2026-05-21,-0.00011765,-3.921666666666667e-05,3
2026-05-22,-0.00035835,-0.00011945,3
2026-05-23,-5.734e-05,-1.9113333333333336e-05,3
2026-05-24,4.8089999999999995e-05,1.6029999999999997e-05,3
2026-05-25,-0.00027255,-9.085e-05,3
2026-05-26,0.00029966,9.988666666666667e-05,3
2026-05-27,0.00025796,8.598666666666667e-05,3
2026-05-28,9.875000000000002e-05,3.291666666666667e-05,3
2026-05-29,5.690000000000001e-06,1.8966666666666668e-06,3
2026-05-30,-7.698999999999999e-05,-2.5663333333333332e-05,3
2026-05-31,0.00010081,3.360333333333334e-05,3
2026-06-01,-2.5880000000000003e-05,-8.626666666666668e-06,3
2026-06-02,0.00022687,7.562333333333334e-05,3
2026-06-03,-8.425999999999998e-05,-2.808666666666666e-05,3
2026-06-04,-0.00048975,-0.00016324999999999998,3
2026-06-05,-0.00019879,-6.626333333333333e-05,3
2026-06-06,-0.00017507,-5.835666666666666e-05,3
2026-06-07,-7.808e-05,-2.6026666666666666e-05,3
2026-06-08,-0.00013999,-4.666333333333333e-05,3
2026-06-09,-0.00030597,-0.00010199,3
2026-06-10,-0.00010647,-3.549e-05,3
2026-06-11,0.00019602,6.534000000000001e-05,3
2026-06-12,-6.513e-05,-2.1709999999999997e-05,3
2026-06-13,0.00016699,5.566333333333333e-05,3
2026-06-14,0.00017932,5.977333333333334e-05,3
2026-06-15,4.2029999999999996e-05,1.4009999999999998e-05,3
2026-06-16,2.684e-05,8.946666666666667e-06,3
2026-06-17,0.0001604,5.346666666666667e-05,3
2026-06-18,-5.591999999999999e-05,-1.8639999999999998e-05,3
2026-06-19,0.00013068999999999998,4.356333333333333e-05,3
2026-06-20,3.612e-05,1.204e-05,3
2026-06-21,1.28e-05,4.266666666666667e-06,3
2026-06-22,-6.526e-05,-2.175333333333333e-05,3
2026-06-23,-0.00022878999999999998,-7.626333333333333e-05,3
2026-06-24,9.349e-05,3.1163333333333334e-05,3
2026-06-25,3.877999999999999e-05,1.2926666666666664e-05,3
2026-06-26,1.799e-05,5.996666666666666e-06,3
2026-06-27,0.00016683000000000003,5.561000000000001e-05,3
