date,funding_sum,funding_mean,n
2026-04-22,0.00018668,9.334e-05,2
2026-04-23,4.055e-05,1.3516666666666667e-05,3
2026-04-24,0.00030000000000000003,0.0001,3
2026-04-25,0.00017195,5.7316666666666666e-05,3
2026-04-26,0.00030000000000000003,0.0001,3
2026-04-27,-5.8349999999999995e-05,-1.945e-05,3
2026-04-28,0.00024381,8.127e-05,3
2026-04-29,-0.00040148,-0.00013382666666666667,3
2026-04-30,-2.492e-05,-8.306666666666666e-06,3
2026-05-01,-0.00050302,-0.0001676733333333333,3
2026-05-02,-0.00066683,-0.00022227666666666665,3
2026-05-03,-0.00098379,-0.00032793,3
2026-05-04,3.439e-05,1.1463333333333334e-05,3
2026-05-05,0.00024043,8.014333333333333e-05,3
2026-05-06,0.00030000000000000003,0.0001,3
2026-05-07,0.00030000000000000003,0.0001,3
2026-05-08,0.00018902,6.300666666666667e-05,3
2026-05-09,0.00019627000000000002,6.542333333333333e-05,3
2026-05-10,0.00016806000000000001,5.602e-05,3
2026-05-11,4.8769999999999996e-05,1.6256666666666666e-05,3
2026-05-12,0.00027148,9.049333333333334e-05,3
2026-05-13,5.5140000000000004e-05,1.838e-05,3
2026-05-14,0.00020373,6.791e-05,3
2026-05-15,-0.00017722,-5.907333333333333e-05,3
2026-05-16,-0.00026016,-8.672e-05,3
2026-05-17,-0.0004918100000000001,-0.0001639366666666667,3
2026-05-18,-4.6349999999999995e-05,-1.545e-05,3
2026-05-19,-0.00024609,-8.203000000000001e-05,3
2026-05-20,-4.295999999999998e-05,-1.4319999999999993e-05,3
2026-05-21,0.00018823,6.274333333333334e-05,3
2026-05-22,0.00013466999999999998,4.488999999999999e-05,3
2026-05-23,-0.00066271,-0.00022090333333333332,3
2026-05-24,-0.00015849,-5.283e-05,3
2026-05-25,-5.8410000000000005e-05,-1.947e-05,3
2026-05-26,0.00030000000000000003,0.0001,3
2026-05-27,0.0001214,4.046666666666666e-05,3
2026-05-28,-0.00031917999999999996,-0.00010639333333333332,3
2026-05-29,-6.769999999999998e-06,-2.256666666666666e-06,3
2026-05-30,0.00024337000000000002,8.112333333333334e-05,3
2026-05-31,-2.018e-05,-6.726666666666667e-06,3
2026-06-01,0.00025976,8.658666666666667e-05,3
2026-06-02,1.2870000000000004e-05,4.290000000000001e-06,3
2026-06-03,-0.00027345,-9.115e-05,3
2026-06-04,-0.00070082,-0.00023360666666666667,3
2026-06-05,-0.00028157,-9.385666666666666e-05,3
2026-06-06,-0.00034095,-0.00011365000000000001,3
2026-06-07,-0.00024642,-8.214000000000001e-05,3
2026-06-08,-5.7220000000000004e-05,-1.9073333333333336e-05,3
2026-06-09,-8.285999999999999e-05,-2.7619999999999996e-05,3
2026-06-10,8.661000000000001e-05,2.8870000000000003e-05,3
2026-06-11,-7.002999999999999e-05,-2.334333333333333e-05,3
2026-06-12,0.00015554000000000002,5.184666666666667e-05,3
2026-06-13,0.00016293999999999998,5.431333333333333e-05,3
2026-06-14,-0.00052532,-0.00017510666666666668,3
2026-06-15,0.00023824000000000002,7.941333333333334e-05,3
2026-06-16,-0.00011559,-3.853e-05,3
2026-06-17,0.00020208999999999998,6.736333333333333e-05,3
2026-06-18,3.599999999999898e-07,1.199999999999966e-07,3
2026-06-19,5.6220000000000014e-05,1.8740000000000004e-05,3
2026-06-20,-6.041e-05,-2.0136666666666666e-05,3
2026-06-21,-0.00014058,-4.686e-05,3
2026-06-22,-0.00022393,-7.464333333333333e-05,3
2026-06-23,-0.00046902,-0.00015634,3
2026-06-24,-0.00027425999999999997,-9.141999999999999e-05,3
2026-06-25,0.00013227,4.409e-05,3
2026-06-26,0.00023202000000000002,7.734e-05,3
2026-06-27,7.637e-05,2.5456666666666666e-05,3
