date,funding_sum,funding_mean,n
2026-04-22,-0.00021608,-0.00010804,2
2026-04-23,-0.00023293999999999998,-7.764666666666666e-05,3
2026-04-24,-0.00015876,-5.292e-05,3
2026-04-25,-0.0005016900000000001,-0.00016723,3
2026-04-26,-0.00353815,-0.0011793833333333334,3
2026-04-27,-0.00053232,-0.00017743999999999998,3
2026-04-28,9.502e-05,3.1673333333333334e-05,3
2026-04-29,-0.00025183,-8.394333333333333e-05,3
2026-04-30,0.00019741,6.580333333333333e-05,3
2026-05-01,9.999999999999904e-08,3.3333333333333016e-08,3
2026-05-02,-0.00027477,-9.159e-05,3
2026-05-03,-0.00013693,-4.564333333333334e-05,3
2026-05-04,-0.00011596,-3.865333333333333e-05,3
2026-05-05,-5.2919999999999995e-05,-1.7639999999999997e-05,3
2026-05-06,0.00013124,4.3746666666666666e-05,3
2026-05-07,-3.161e-05,-1.0536666666666665e-05,3
2026-05-08,-1.770000000000005e-06,-5.900000000000017e-07,3
2026-05-09,0.00011071,3.6903333333333336e-05,3
2026-05-10,0.00012796,4.265333333333333e-05,3
2026-05-11,-0.00031059999999999996,-0.00010353333333333332,3
2026-05-12,-0.0007655100000000001,-0.00025517000000000004,3
2026-05-13,-0.00250756,-0.0008358533333333333,3
2026-05-14,-0.00039889,-0.00013296333333333334,3
2026-05-15,-0.00026855,-8.951666666666667e-05,3
2026-05-16,-4.939999999999997e-06,-1.6466666666666656e-06,3
2026-05-17,-0.00030400999999999996,-0.00010133666666666665,3
2026-05-18,4.643e-05,1.5476666666666667e-05,3
2026-05-19,-0.00021413,-7.137666666666667e-05,3
2026-05-20,-0.00033005,-0.00011001666666666668,3
2026-05-21,-0.00031999999999999997,-0.00010666666666666665,3
2026-05-22,0.00010824000000000001,3.608e-05,3
2026-05-23,-0.00069048,-0.00023016,3
2026-05-24,-0.00026019,-8.672999999999999e-05,3
2026-05-25,-0.00038798,-0.00012932666666666667,3
2026-05-26,-0.00039251,-0.00013083666666666667,3
2026-05-27,-0.0008004900000000001,-0.00026683,3
2026-05-28,-0.00054142,-0.00018047333333333335,3
2026-05-29,-0.0014355499999999998,-0.0004785166666666666,3
2026-05-30,-0.00120078,-0.00040026,3
2026-05-31,-0.00039273,-0.00013091,3
2026-06-01,-0.0001578,-5.26e-05,3
2026-06-02,-0.00010699,-3.5663333333333335e-05,3
2026-06-03,-5.052e-05,-1.6839999999999998e-05,3
2026-06-04,1.3320000000000015e-05,4.440000000000005e-06,3
2026-06-05,-5.887e-05,-1.9623333333333332e-05,3
2026-06-06,-0.00060307,-0.00020102333333333334,3
2026-06-07,-0.0002863,-9.543333333333334e-05,3
2026-06-08,-0.00010847000000000002,-3.615666666666667e-05,3
2026-06-09,-0.00031169,-0.00010389666666666666,3
2026-06-10,-0.00015431,-5.143666666666667e-05,3
2026-06-11,0.00010249,3.416333333333333e-05,3
2026-06-12,6.92e-05,2.3066666666666667e-05,3
2026-06-13,-0.00026476,-8.825333333333333e-05,3
2026-06-14,-0.00049695,-0.00016565000000000001,3
2026-06-15,-0.00033658,-0.00011219333333333334,3
2026-06-16,0.00021275,7.091666666666666e-05,3
2026-06-17,-0.00018894,-6.298e-05,3
2026-06-18,-0.00032568,-0.00010856,3
2026-06-19,-0.00020214,-6.738000000000001e-05,3
2026-06-20,-0.00061472,-0.00020490666666666667,3
2026-06-21,-0.00026681000000000003,-8.893666666666667e-05,3
2026-06-22,-0.00014601000000000002,-4.867000000000001e-05,3
2026-06-23,-0.00045347,-0.00015115666666666667,3
2026-06-24,-9.711999999999999e-05,-3.237333333333333e-05,3
2026-06-25,-8.963e-05,-2.9876666666666665e-05,3
2026-06-26,6.864e-05,2.2879999999999998e-05,3
2026-06-27,-0.00011385,-3.795e-05,3
