date,funding_sum,funding_mean,n
2026-04-22,-5.295e-05,-2.6475e-05,2
2026-04-23,1.1399999999999996e-05,3.7999999999999988e-06,3
2026-04-24,0.00016229,5.4096666666666667e-05,3
2026-04-25,4.92e-05,1.6400000000000002e-05,3
2026-04-26,3.8119999999999994e-05,1.2706666666666665e-05,3
2026-04-27,-0.00017787,-5.929e-05,3
2026-04-28,7.356e-05,2.452e-05,3
2026-04-29,0.00013916999999999998,4.6389999999999995e-05,3
2026-04-30,-6.902e-05,-2.3006666666666668e-05,3
2026-05-01,-0.00018928,-6.309333333333333e-05,3
2026-05-02,-1.03e-05,-3.4333333333333332e-06,3
2026-05-03,-0.00015518,-5.172666666666666e-05,3
2026-05-04,6.922e-05,2.3073333333333335e-05,3
2026-05-05,-1.2139999999999996e-05,-4.0466666666666655e-06,3
2026-05-06,5.0820000000000005e-05,1.694e-05,3
2026-05-07,2.774e-05,9.246666666666666e-06,3
2026-05-08,0.00011870000000000001,3.956666666666667e-05,3
2026-05-09,0.00025951,8.650333333333334e-05,3
2026-05-10,9.363000000000001e-05,3.121e-05,3
2026-05-11,2.9200000000000005e-05,9.733333333333336e-06,3
2026-05-12,-0.00013685,-4.5616666666666666e-05,3
2026-05-13,4.4380000000000005e-05,1.4793333333333335e-05,3
2026-05-14,-0.00031726000000000004,-0.00010575333333333335,3
2026-05-15,-0.00019286,-6.428666666666667e-05,3
2026-05-16,-0.00028202,-9.400666666666668e-05,3
2026-05-17,-7.115000000000002e-05,-2.3716666666666673e-05,3
2026-05-18,1.0509999999999998e-05,3.5033333333333325e-06,3
2026-05-19,-9.146e-05,-3.0486666666666664e-05,3
2026-05-20,-2.3460000000000002e-05,-7.820000000000001e-06,3
2026-05-21,-1.7330000000000005e-05,-5.776666666666668e-06,3
2026-05-22,0.00013431,4.477e-05,3
2026-05-23,-0.0003255,-0.0001085,3
2026-05-24,0.00019751,6.583666666666667e-05,3
2026-05-25,2.5620000000000002e-05,8.540000000000001e-06,3
2026-05-26,0.00025524,8.508e-05,3
2026-05-27,-5.638e-05,-1.8793333333333332e-05,3
2026-05-28,-0.0005436799999999999,-0.00018122666666666666,3
2026-05-29,-0.00022529,-7.509666666666667e-05,3
2026-05-30,-7.900999999999999e-05,-2.6336666666666665e-05,3
2026-05-31,7.107999999999999e-05,2.369333333333333e-05,3
2026-06-01,0.00022958,7.652666666666667e-05,3
2026-06-02,0.00016444,5.481333333333333e-05,3
2026-06-03,0.00017673,5.891e-05,3
2026-06-04,-9.179e-05,-3.0596666666666665e-05,3
2026-06-05,-0.00022704,-7.568e-05,3
2026-06-06,-0.00032213,-0.00010737666666666666,3
2026-06-07,-0.00011198,-3.732666666666666e-05,3
2026-06-08,2.2899999999999933e-06,7.633333333333311e-07,3
2026-06-09,0.00012584,4.194666666666667e-05,3
2026-06-10,0.0001001,3.336666666666667e-05,3
2026-06-11,0.00018699,6.233e-05,3
2026-06-12,4.7930000000000004e-05,1.597666666666667e-05,3
2026-06-13,0.00010585,3.5283333333333335e-05,3
2026-06-14,0.00012581000000000002,4.1936666666666675e-05,3
2026-06-15,0.00024732,8.243999999999999e-05,3
2026-06-16,0.00018590000000000002,6.196666666666668e-05,3
2026-06-17,7.169e-05,2.3896666666666668e-05,3
2026-06-18,-8.741e-05,-2.913666666666667e-05,3
2026-06-19,6.167999999999999e-05,2.0559999999999996e-05,3
2026-06-20,9.606e-05,3.202e-05,3
2026-06-21,0.00020413,6.804333333333333e-05,3
2026-06-22,0.00015872,5.2906666666666666e-05,3
2026-06-23,-6.507e-05,-2.169e-05,3
2026-06-24,1.6719999999999996e-05,5.573333333333332e-06,3
2026-06-25,0.00011056,3.6853333333333335e-05,3
2026-06-26,0.00012568,4.1893333333333334e-05,3
2026-06-27,0.00018167,6.055666666666666e-05,3
