date,oi,oi_value,toptrader_acc_ls,toptrader_pos_ls,global_acc_ls,taker_ls
2021-12-01,4730657.128958333,123029693.84625405,5.112327331436089,0.8911526634621527,6.093641896402229,1.0071586277850695
2021-12-02,4778558.406076389,118474753.79581043,7.556180142923206,0.8923046970680555,8.72260688625985,1.0244083774034722
2021-12-03,4803351.251458334,118317263.25386806,7.4861663028109495,0.8833199744055555,8.855131648935911,0.9906648722236111
2021-12-04,3693533.0869473685,75597830.66792712,5.59038542837737,0.8610625903228071,6.399150432593345,1.0340845903557894
2021-12-05,3404871.4002430555,66973005.585812636,4.7987844497787915,0.8478223156288194,5.240832752204607,1.0328621273104168
2021-12-06,3568838.4605555553,66108997.969377294,4.939265128843164,0.85603646704375,5.412874007575986,1.073616755292014
2021-12-07,3523865.215,71172502.95130831,3.705287294747061,0.8581226664986111,4.0451546634247775,1.0330404903104167
2021-12-08,3832948.2113541663,84849998.90522836,2.7577629920769424,0.876499429128125,2.819508587573643,1.03055604729375
2021-12-09,3749126.1817013887,80429277.1281908,3.327390780182151,0.8528572629784722,3.4045004776042376,1.0442708725954861
2021-12-10,3638189.351875,71943377.68704128,4.519590241698705,0.8407413294621527,4.834288653146455,1.0339680551743056
2021-12-11,3598800.735763889,69709486.01944011,4.268195422413699,0.8357979095281249,4.751439366405337,1.0529015845315972
2021-12-12,3552859.8222916666,70596494.10055952,3.7534969852438373,0.8356297252475694,4.100404006102317,1.0164599998104167
2021-12-13,3640492.955,68536124.11237337,4.572797376956726,0.8484378781493055,4.723938937401574,1.0587836125930556
2021-12-14,3688925.532951389,66512178.77127276,4.646784172017075,0.8634663379017361,5.08521807478776,1.0279631315468751
2021-12-15,3760562.623240418,69236991.60809739,4.037253810882447,0.8663131713860627,4.340990888740179,1.0084078818756097
2021-12-16,3740097.0794791672,73456723.44290604,3.249166228108249,0.8911777029076389,3.3930018291609456,1.0726475019447916
2021-12-17,3669009.220486111,68468902.51681903,4.526890541658628,0.8896001790506944,4.896667088472996,1.0593186498086806
2021-12-18,3658408.1585416663,70443339.0546009,3.427534571054182,0.8792493656798611,3.8205445120056365,1.0479904458861111
2021-12-19,3688538.7636805554,72262315.47265095,3.185738211389781,0.8895538700451389,3.507123309198018,1.070110594701736
2021-12-20,3687618.8838888886,68694093.269016,4.575438016441514,0.8867338854951389,5.172426013575363,1.035773901265625
2021-12-21,3801644.1651041666,72396996.47988862,3.939694068487448,0.9602291549624999,4.526119836693038,1.0284508787618054
2021-12-22,3939967.7830555555,78877110.92094718,2.8722988813965906,0.9469987643500001,3.2371665904431763,1.019554917059375
2021-12-23,4016689.873472222,84206983.88139835,2.8346592037734433,0.9662539847795139,3.187406208238916,1.041349023011111
2021-12-24,4044089.5356445992,89259624.49605533,2.603415421810912,0.9761182342627178,2.9586088552758047,0.9956954615923345
2021-12-25,3987033.649444444,86867943.61001152,2.7964237046000924,0.9885034032350695,3.2326991536572405,1.0371969948434028
2021-12-26,4083402.214930556,90851624.64276083,2.5024918215927774,1.0167689869236112,2.8766249433098583,1.0064956533572917
2021-12-27,4188757.2207986107,98640609.24256748,2.6036570302142623,0.9810526837697916,2.9918724437665456,1.0130413670989582
2021-12-28,4099914.974895833,89516739.38185327,3.9555526416389557,0.9873196834000001,4.313526481583135,1.030085118850347
2021-12-29,4025541.0529268296,82497618.14838858,5.452726812469762,1.0228161072606272,5.997863525365435,1.0023362308780488
2021-12-30,4035911.572777778,80121009.0394956,5.849549421113093,1.0409758852268571,6.337513401616681,1.0525405722228571
2021-12-31,4093031.816759582,81817374.95180146,,,,
2022-01-01,4099355.3581250003,81875522.83796787,,,,
2022-01-02,4202864.6978819445,89574259.64982449,,,,
2022-01-03,4356499.722291667,97211843.80986464,,,,
2022-01-04,4553189.386840278,107782103.23085219,,,,
2022-01-05,4964886.618506944,127247318.43079437,,,,
2022-01-06,4761296.420659723,116657787.8737732,,,,
2022-01-07,4543598.034201388,113867540.75195007,,,,
2022-01-08,4653214.395972222,119900716.37844735,,,,
2022-01-09,5097835.5460416665,138353536.68085092,,,,
2022-01-10,5400271.911111112,147841746.63240469,,,,
2022-01-11,5414900.594340278,146901231.83297312,,,,
2022-01-12,5588804.696770834,148024333.86335826,,,,
2022-01-13,5573071.63125,143793725.30919585,,,,
2022-01-14,5525116.273125,137258491.66851017,,,,
2022-01-15,5314426.894618056,136195661.6254346,,,,
2022-01-16,5176496.971979167,132372452.41542213,,,,
2022-01-17,5294784.685451389,129803255.93842036,,,,
2022-01-18,5514212.465902778,127548053.13273457,,,,
2022-01-19,5361418.383090277,118277526.99002022,,,5.342851702186188,
2022-01-20,5272195.136944445,115953959.63650641,,,5.0385217823958515,
2022-01-21,5128708.658472222,98530314.2608389,,,5.9029354672077865,
2022-01-22,4786046.634756944,77202479.3653199,,,4.31207691570449,
2022-01-23,4812592.490069445,76673051.2829456,,,3.8377755794949255,
2022-01-24,4900007.673680555,73970897.531238,,,3.6829361130448715,
2022-01-25,4895396.33548611,74793926.0662141,,,3.478747377338233,
2022-01-26,4698075.36875,73913870.36348344,,,3.321890471222176,
2022-01-27,4595616.822638889,68799801.68023586,,,3.69302713036243,
2022-01-28,4594572.129861112,70663344.65486823,,,3.1141557151027346,
2022-01-29,4616080.462569444,75093630.3684296,,,2.545145236831444,
2022-01-30,4946759.563611111,85104842.7756259,2.2332764871180557,0.8456491314236111,2.108818893784722,1.0641503534027779
2022-01-31,4868653.666145833,82934121.23553525,,,2.551178778230226,
2022-02-01,4646087.797916667,80049410.16926852,,,2.6083486594287457,
2022-02-02,4750347.317604166,79512521.30949551,,,3.1121173824352475,
2022-02-03,4731551.936805556,74615081.65004903,,,3.674284461500825,
2022-02-04,4714945.5295486115,78059029.61049862,,,2.7997983301131995,
2022-02-05,4840955.687673611,86497756.77784319,,,2.2390822335528924,
2022-02-06,4677393.759375,83016621.0987859,,,2.3776700197383906,
2022-02-07,4730944.669791667,88278613.37763113,,,2.2131911430534297,
2022-02-08,4586335.073784722,84517824.43776624,,,2.36843655502668,
2022-02-09,4491071.4471875,82287065.1475084,,,2.7094594323090324,
2022-02-10,4519420.247048612,81961406.57220401,,,2.9175368099432144,
2022-02-11,4617904.13326389,79608843.24476199,,,3.6182645360245775,
2022-02-12,4778047.053402778,76695871.85417974,,,4.6326688066175805,
2022-02-13,4695334.805451389,75118369.81658837,,,4.387067228775425,
2022-02-14,4752438.778993055,74151689.05569665,,,4.339263367119752,
2022-02-15,4722906.399097223,78645421.18785141,,,3.247835910248116,
2022-02-16,4546249.4305208335,77311664.3294218,,,2.897274674700134,
2022-02-17,4580301.848402778,75308216.66299817,,,3.649242404678235,
2022-02-18,4657069.498506945,72619305.39441839,,,4.497267663428981,
2022-02-19,4653594.760555555,71270797.05745822,,,4.122117724635093,
2022-02-20,4679959.689236111,69111697.17550048,,,3.7566575960519466,
2022-02-21,4766775.685555556,69800406.3446236,,,4.0456232682242375,
2022-02-22,4944346.633020833,67636251.96326752,,,3.6938377791474273,
2022-02-23,4884631.506215278,68763732.2191504,,,3.3421649839227365,
2022-02-24,4980759.820416667,61751225.517079085,,,3.415116745465846,
2022-02-25,4484367.488784722,61144443.49827128,,,2.5432372922753914,
2022-02-26,4297376.684409722,62411060.760453224,,,2.123573913408951,
2022-02-27,4306910.738993055,61214114.594384156,,,2.1089315498668046,
2022-02-28,4240368.2101041665,59618065.23254505,,,2.578873994986799,
2022-03-01,4215730.606388889,63882445.43570626,,,2.2150540395387086,
2022-03-02,4207266.6640972225,64792566.01778821,,,2.263097621372301,
2022-03-03,4262746.083645833,63922119.246034555,,,2.62918450222543,
2022-03-04,4403834.8819791665,62536465.14786286,,,3.226688364780245,
2022-03-05,4548861.980416667,63271202.8596513,,,3.312048956383039,
2022-03-06,4594770.008368056,63160877.0121471,,,3.4731332076244907,
2022-03-07,3131098.0669791666,40888567.029662415,,,3.8455407427967745,
