date,funding_sum,funding_mean,n
2026-04-22,0.00014987,7.4935e-05,2
2026-04-23,2.3099999999999965e-06,7.699999999999989e-07,3
2026-04-24,0.00022967000000000002,7.655666666666667e-05,3
2026-04-25,6.119e-05,2.0396666666666667e-05,3
2026-04-26,-2.2879999999999998e-05,-7.626666666666666e-06,3
2026-04-27,4.134e-05,1.378e-05,3
2026-04-28,6.630000000000001e-05,2.2100000000000005e-05,3
2026-04-29,0.00015224,5.0746666666666666e-05,3
2026-04-30,7.539999999999999e-06,2.513333333333333e-06,3
2026-05-01,-6.811e-05,-2.2703333333333333e-05,3
2026-05-02,4.85e-05,1.6166666666666665e-05,3
2026-05-03,-0.00011293999999999999,-3.764666666666666e-05,3
2026-05-04,9.851e-05,3.283666666666667e-05,3
2026-05-05,0.00013861,4.620333333333333e-05,3
2026-05-06,0.00020005,6.668333333333333e-05,3
2026-05-07,0.00016814,5.6046666666666667e-05,3
2026-05-08,0.00010481,3.493666666666667e-05,3
2026-05-09,0.00020399,6.799666666666667e-05,3
2026-05-10,0.00010866,3.622e-05,3
2026-05-11,0.00017432,5.8106666666666664e-05,3
2026-05-12,1.8920000000000002e-05,6.3066666666666676e-06,3
2026-05-13,8.993e-05,2.9976666666666667e-05,3
2026-05-14,9.844e-05,3.281333333333333e-05,3
2026-05-15,-2.277e-05,-7.59e-06,3
2026-05-16,-9.630000000000001e-06,-3.21e-06,3
2026-05-17,4.866e-05,1.622e-05,3
2026-05-18,-0.00013141999999999999,-4.380666666666666e-05,3
2026-05-19,-1.87e-05,-6.2333333333333335e-06,3
2026-05-20,9.201000000000001e-05,3.067e-05,3
2026-05-21,-2.208e-05,-7.36e-06,3
2026-05-22,4.018e-05,1.3393333333333333e-05,3
2026-05-23,-2.8809999999999994e-05,-9.603333333333332e-06,3
2026-05-24,-5.169999999999996e-06,-1.723333333333332e-06,3
2026-05-25,0.00010449,3.483e-05,3
2026-05-26,7.829999999999998e-06,2.609999999999999e-06,3
2026-05-27,-1.3379999999999997e-05,-4.459999999999999e-06,3
2026-05-28,-2.786e-05,-9.286666666666667e-06,3
2026-05-29,0.00020384,6.794666666666667e-05,3
2026-05-30,9.136e-05,3.0453333333333335e-05,3
2026-05-31,-0.00010013,-3.337666666666667e-05,3
2026-06-01,0.00016979,5.659666666666667e-05,3
2026-06-02,-2.84e-05,-9.466666666666667e-06,3
2026-06-03,3.0820000000000006e-05,1.0273333333333335e-05,3
2026-06-04,-7.322000000000001e-05,-2.4406666666666668e-05,3
2026-06-05,4.208e-05,1.4026666666666666e-05,3
2026-06-06,0.00010146,3.382e-05,3
2026-06-07,-4.333e-05,-1.4443333333333333e-05,3
2026-06-08,7.163e-05,2.3876666666666668e-05,3
2026-06-09,-9.269e-05,-3.0896666666666665e-05,3
2026-06-10,3.247e-05,1.0823333333333334e-05,3
2026-06-11,1.8740000000000004e-05,6.246666666666668e-06,3
2026-06-12,-2.4399999999999997e-05,-8.133333333333332e-06,3
2026-06-13,3.012e-05,1.004e-05,3
2026-06-14,-8.570999999999999e-05,-2.8569999999999996e-05,3
2026-06-15,0.00015800999999999999,5.2669999999999995e-05,3
2026-06-16,7.348e-05,2.449333333333333e-05,3
2026-06-17,0.00014101,4.700333333333334e-05,3
2026-06-18,-1.1519999999999998e-05,-3.84e-06,3
2026-06-19,-6.449e-05,-2.1496666666666667e-05,3
2026-06-20,-6.241000000000001e-05,-2.0803333333333335e-05,3
2026-06-21,-6.586000000000001e-05,-2.1953333333333335e-05,3
2026-06-22,0.00010381999999999999,3.460666666666666e-05,3
2026-06-23,-1.4640000000000002e-05,-4.880000000000001e-06,3
2026-06-24,-6.976000000000001e-05,-2.3253333333333337e-05,3
2026-06-25,-7.048e-05,-2.3493333333333334e-05,3
2026-06-26,4.881999999999999e-05,1.627333333333333e-05,3
2026-06-27,-0.00011755999999999999,-3.918666666666666e-05,3
