date,funding_sum,funding_mean,n
2026-04-22,-6.316e-05,-3.158e-05,2
2026-04-23,0.00010253999999999999,3.4179999999999995e-05,3
2026-04-24,0.00023398,7.799333333333333e-05,3
2026-04-25,-5.451e-05,-1.817e-05,3
2026-04-26,0.0002955,9.850000000000001e-05,3
2026-04-27,0.00017231,5.743666666666667e-05,3
2026-04-28,0.00030000000000000003,0.0001,3
2026-04-29,9.949999999999999e-05,3.316666666666666e-05,3
2026-04-30,0.00016052000000000001,5.3506666666666674e-05,3
2026-05-01,-7.844999999999998e-05,-2.6149999999999995e-05,3
2026-05-02,6.330000000000016e-06,2.110000000000005e-06,3
2026-05-03,9.360000000000005e-06,3.120000000000002e-06,3
2026-05-04,-9.963e-05,-3.321e-05,3
2026-05-05,-1.1750000000000008e-05,-3.916666666666669e-06,3
2026-05-06,0.00027898,9.299333333333334e-05,3
2026-05-07,0.00026588,8.862666666666667e-05,3
2026-05-08,7.699e-05,2.5663333333333336e-05,3
2026-05-09,2.048999999999999e-05,6.8299999999999964e-06,3
2026-05-10,0.00013263,4.4210000000000005e-05,3
2026-05-11,3.5000000000000004e-05,1.1666666666666668e-05,3
2026-05-12,-0.00024176,-8.058666666666666e-05,3
2026-05-13,-0.00019913,-6.637666666666667e-05,3
2026-05-14,0.00017484,5.828e-05,3
2026-05-15,0.00014649999999999998,4.8833333333333325e-05,3
2026-05-16,9.1e-05,3.0333333333333333e-05,3
2026-05-17,0.00017875,5.9583333333333336e-05,3
2026-05-18,2.1020000000000012e-05,7.006666666666671e-06,3
2026-05-19,-6.08e-05,-2.0266666666666667e-05,3
2026-05-20,0.00025106,8.368666666666667e-05,3
2026-05-21,9.749999999999993e-06,3.2499999999999977e-06,3
2026-05-22,0.00026772,8.923999999999999e-05,3
2026-05-23,0.00012790000000000002,4.263333333333334e-05,3
2026-05-24,0.00018735,6.245e-05,3
2026-05-25,0.00017925,5.9749999999999995e-05,3
2026-05-26,-0.00029067000000000003,-9.689000000000002e-05,3
2026-05-27,0.00030000000000000003,0.0001,3
2026-05-28,0.00030000000000000003,0.0001,3
2026-05-29,0.00015161,5.053666666666667e-05,3
2026-05-30,0.00030000000000000003,0.0001,3
2026-05-31,0.00012735,4.245e-05,3
2026-06-01,6.619999999999991e-06,2.2066666666666636e-06,3
2026-06-02,7.917000000000002e-05,2.6390000000000007e-05,3
2026-06-03,-3.892000000000001e-05,-1.2973333333333335e-05,3
2026-06-04,6.64e-05,2.2133333333333334e-05,3
2026-06-05,0.00024878,8.292666666666667e-05,3
2026-06-06,6.686000000000001e-05,2.2286666666666668e-05,3
2026-06-07,5.6840000000000005e-05,1.894666666666667e-05,3
2026-06-08,-0.00023334,-7.778e-05,3
2026-06-09,9.301e-05,3.1003333333333335e-05,3
2026-06-10,4.303e-05,1.4343333333333334e-05,3
2026-06-11,0.0002478,8.26e-05,3
2026-06-12,0.00011417,3.8056666666666664e-05,3
2026-06-13,0.00013544000000000002,4.514666666666667e-05,3
2026-06-14,0.00022119000000000002,7.373e-05,3
2026-06-15,1.9999999999998114e-08,6.666666666666038e-09,3
2026-06-16,0.00010728000000000002,3.576e-05,3
2026-06-17,-0.00020783,-6.927666666666666e-05,3
2026-06-18,4.274e-05,1.4246666666666667e-05,3
2026-06-19,-5.0839999999999994e-05,-1.6946666666666665e-05,3
2026-06-20,-7.83e-05,-2.61e-05,3
2026-06-21,-0.00015364,-5.121333333333333e-05,3
2026-06-22,-2.26e-05,-7.533333333333334e-06,3
2026-06-23,0.00020989,6.996333333333334e-05,3
2026-06-24,0.0001864,6.213333333333333e-05,3
2026-06-25,0.00010441000000000001,3.480333333333334e-05,3
2026-06-26,0.00026803,8.934333333333334e-05,3
2026-06-27,0.00017972000000000002,5.9906666666666674e-05,3
