date,oi,oi_value,toptrader_acc_ls,toptrader_pos_ls,global_acc_ls,taker_ls
2021-12-01,1368534.6420138888,15282105.320051733,2.5673818979875924,1.0361805852843748,3.263707079939177,1.1472464364986112
2021-12-02,1531388.3940972222,17382550.337444164,3.027754378019623,1.0780096716333334,3.8664173367535546,1.0708537633083333
2021-12-03,1478755.411111111,16159442.102320956,4.084003625265139,1.0224795027513889,4.547788329861371,1.2473774345572917
2021-12-04,1325101.3494736843,12405888.931728635,3.011655230880077,1.0052695796529825,3.4781237820082618,1.1184682100926315
2021-12-05,1292266.5750000002,11767073.098484796,2.4541898287645627,0.9817754793562501,2.883214280558261,1.2558474948555556
2021-12-06,1277957.4194444446,10994733.976806642,2.3118447279201564,0.9999193038704861,2.721490409055704,1.2129185368527777
2021-12-07,1275867.6979166667,11316074.876670577,2.3186203738110005,1.0012017451506945,2.8454941626647137,1.139153284285764
2021-12-08,1274119.7020833334,11095446.915313417,2.4255483308199164,1.001876834970139,2.907175270043641,1.2382743812697916
2021-12-09,1238613.9121527777,10614436.887238704,2.338708883047142,0.9930174239038195,2.6674590634944497,1.1412842393847222
2021-12-10,1161256.992013889,9362496.717804963,2.602103018203111,0.9968499184298611,3.2648947502219836,1.0785515149687501
2021-12-11,1047255.2475694445,8199412.397360955,2.663035455915567,0.9988045057190972,3.3668875250844637,1.2696386549701388
2021-12-12,1044892.84375,8256431.281481264,2.3976043022657225,1.0023109105927084,3.044313331264184,1.1916334029392361
2021-12-13,1017473.2718750001,7633776.993072907,2.4660748500506253,1.0024347773347222,3.0388380376659705,1.1063272983003474
2021-12-14,1048075.7760416666,7583684.910573308,2.330336015299521,0.9870355919256943,2.919860741749206,1.1379709394847222
2021-12-15,1018018.3170731707,7586802.723965403,2.2861128462593676,1.0084771284435539,2.860710891106418,1.1809948315954704
2021-12-16,1015344.5093749999,7914910.940630888,2.231524775015553,1.0372485770631945,2.7136521571427084,1.153498905560764
2021-12-17,1081038.4208333334,7967743.75533997,2.6294709346723524,1.0619089296982638,3.14858875920565,1.2142439406260417
2021-12-18,1154189.2142361111,8436691.66582672,2.4610437504310747,1.0431976221475694,3.1805365591170642,1.1245767230708335
2021-12-19,1059012.3097222222,7741328.201060095,2.4031218800970873,1.0533075558722222,3.135510317721721,1.3178945399111113
2021-12-20,1029488.7420138889,7226329.575199561,2.6024405696623094,1.0534791920263888,3.5307779324303183,1.069066608871875
2021-12-21,1053665.9791666667,7538499.962382611,2.5807503649490786,1.0202508553034724,3.3024666243549845,1.1584110839850694
2021-12-22,1092457.901388889,8019347.014660541,2.8616306386750443,0.9898435494836806,4.027216343447348,1.1290646752069444
2021-12-23,1160255.5239583333,8713494.099037567,2.8950028578066282,1.0049090855496527,4.159535189221755,1.153991303821875
2021-12-24,1229792.6421602787,9618984.606094372,3.2101115268810663,1.0360133788867596,4.059805948204733,1.1175244998268292
2021-12-25,1231861.7972222222,9353353.116902567,3.6338045045274097,0.9840728071041666,4.755589177663401,1.0862995768625001
2021-12-26,1244076.2916666667,9482782.221012024,3.7801087466180467,0.9881076697902778,5.002189748983076,1.2794079649479166
2021-12-27,1407256.8871527778,10779091.959295984,4.258279697105073,0.9834825711677083,5.585807832701058,0.9615222567423611
2021-12-28,1491948.7305555556,10746694.115867857,4.158754079088138,0.9967638384815972,5.483039476535911,1.0351091173784723
2021-12-29,1499654.6181184668,10208641.150115035,4.422085755135005,0.9885350783742161,5.721510135984139,1.3508340182780487
2021-12-30,1544860.4927083333,10177808.69451443,4.538389106397452,0.9899351238342857,5.903476507012677,1.2204769875428572
2021-12-31,1579637.3101045296,10270908.757162288,,,,
2022-01-01,1583058.092013889,10170596.872955555,,,,
2022-01-02,1631554.201388889,10895232.789627967,,,,
2022-01-03,1720445.9864583334,11721530.450887859,,,,
2022-01-04,1701854.525,11107385.26440015,,,,
2022-01-05,1601262.898611111,10465198.147956047,,,,
2022-01-06,1625242.5993055557,9518294.945898816,,,,
2022-01-07,1702576.1256944444,9342070.921817973,,,,
2022-01-08,1685089.3027777777,9038409.148178328,,,,
2022-01-09,1649342.2350694444,8776232.217041029,,,,
2022-01-10,1670518.5350694444,8691344.26512436,,,,
2022-01-11,1723805.0493055554,8930841.671285875,,,,
2022-01-12,1683708.0274305556,9160511.322241668,,,,
2022-01-13,1631893.7927083333,8925775.363418091,,,,
2022-01-14,1614264.3225694443,8601858.33383999,,,,
2022-01-15,1663730.9947916667,9006350.953580195,,,,
2022-01-16,1664291.039236111,9044278.779968452,,,,
2022-01-17,1633206.0982638889,8523444.295409307,,,,
2022-01-18,1640916.4027777778,8337907.316167653,,,,
2022-01-19,1661685.1885416666,8344292.089879132,,,4.774213822687697,
2022-01-20,1759375.2645833334,8877606.049425669,,,4.645685323590031,
2022-01-21,1842121.9739583333,8321943.985605929,,,4.1294336998978585,
2022-01-22,1759299.8552083333,6839428.36355982,,,3.1897818228456156,
2022-01-23,1747521.4486111111,6498535.312601739,,,3.31410781699396,
2022-01-24,1923529.5100694443,6542543.737959749,,,3.314894500826288,
2022-01-25,2088860.6243055554,7223181.599284898,,,3.162377782374904,
2022-01-26,1912651.0968749998,6972605.4412282165,,,3.3151378595991607,
2022-01-27,1780271.6434027778,6200054.598342564,,,3.3166890899703905,
2022-01-28,1753905.9381944444,6280222.970938296,,,3.1437117840957924,
2022-01-29,1691376.2163194446,6405057.233491116,,,2.8795323414689906,
2022-01-30,1567676.8552083333,6041891.580803798,2.754703266215278,0.9428116793055555,3.0189793587500002,1.3466928901388888
2022-01-31,1508621.1006944445,5577186.5113685345,,,3.1579452890901663,
2022-02-01,1638540.8270833334,6339427.525151644,,,3.215897174333508,
2022-02-02,1768168.1409722222,6633006.233740757,,,2.9324953815517336,
2022-02-03,1739232.1597222222,6212694.243736218,,,2.661996165078283,
2022-02-04,1625230.5989583333,6016603.383783493,,,3.5606636433980023,
2022-02-05,1804582.1041666667,7085884.201603554,,,3.975798191712477,
2022-02-06,1869998.2371527776,7356316.423441512,,,3.8048698029689896,
2022-02-07,2088102.0302083334,8535469.416182796,,,3.6175305340129498,
2022-02-08,2500744.325694444,10111345.202020228,,,3.9792903922221843,
2022-02-09,2321621.523263889,9212692.058238873,,,4.600016905037837,
2022-02-10,2482484.745138889,10296940.531566385,,,3.9145463515111834,
2022-02-11,2751587.088888889,10793405.78568236,,,4.071987669898977,
2022-02-12,2697907.6788194445,9706381.605590187,,,3.543122999260832,
2022-02-13,2355723.439583333,8442198.385637593,,,3.7960275063899167,
2022-02-14,2162418.575,7545858.923004876,,,3.608914744064874,
2022-02-15,2168930.7020833334,8078396.943400158,,,3.6698687597884847,
2022-02-16,2234743.564583333,8414579.825386338,,,4.449234153845541,
2022-02-17,2356820.2840277776,8391753.017994832,,,4.29039444301125,
2022-02-18,2514539.558333333,8417028.87793485,,,3.938514489562922,
2022-02-19,2919464.6479166667,8987894.194986947,,,4.489663385200211,
2022-02-20,2767739.1368055553,8021812.199590049,,,3.685268278463608,
2022-02-21,2550299.2538194447,7327984.189439547,,,3.745811910318255,
2022-02-22,2280462.2878472223,6108657.760644737,,,3.565815616557421,
2022-02-23,2242539.2760416665,6209744.708149852,,,3.5303103219913123,
2022-02-24,2473339.259722222,6078019.729246099,,,2.9203994989474213,
2022-02-25,2355570.490277778,6091078.621176314,,,3.0743569681281957,
2022-02-26,2486336.9760416667,6548647.499989534,,,3.2353551238984473,
2022-02-27,2612427.3805555557,6567235.142179572,,,3.1179021273718477,
2022-02-28,2677760.3868055553,6777030.34874625,,,2.7420954671127635,
2022-03-01,2670927.9895833335,7425540.88956425,,,2.7843686039374713,
2022-03-02,2310444.2159722224,6387059.142165376,,,3.1239334412285205,
2022-03-03,2225451.051736111,6031318.35270716,,,3.061522805220947,
2022-03-04,2264400.1368055553,5825552.700907859,,,2.9888728346152047,
2022-03-05,2423136.6788194445,6109746.761482605,,,2.736505722386473,
2022-03-06,2289791.713888889,5793781.692083846,,,2.5070200745194233,
2022-03-07,1543512.045138889,3787708.2696756963,,,2.614662627158941,
2022-03-08,2518230.2038194444,6095718.698350028,,,2.9140022022488705,
2022-03-09,2501165.7225694447,6350928.922481846,,,2.9556445987289246,
2022-03-10,2371808.982638889,5771730.061624054,,,2.825988511404818,
2022-03-11,2548533.8743055556,6094978.44708557,,,3.062343728935421,
2022-03-12,2598479.6006944445,6238150.749039146,,,3.2230713682991063,
2022-03-13,2591602.1784722223,6128302.757094667,,,3.3913329776419108,
2022-03-14,2609670.3510416667,6047054.095687604,,,3.1978732814911557,
2022-03-15,2663958.632986111,6196351.338583878,,,3.1939875567433003,
2022-03-16,2872075.0083333333,7071036.747295681,,,2.760963993261274,
2022-03-17,2720903.568402778,6842433.370138701,,,2.8894499654133283,
2022-03-18,2740312.439236111,6982104.189796978,,,2.8322574704657786,
2022-03-19,2912601.902777778,8170224.160049304,,,2.7033766298175985,
2022-03-20,2751357.837847222,7620703.351627706,,,2.615677121855286,
2022-03-21,2669511.6187500004,7256759.114159429,,,3.3583261608088293,
2022-03-22,2638270.8913194444,7354625.731166572,,,2.9652940232899385,
2022-03-23,2676225.9010416665,7891398.285177418,,,3.005139621560865,
2022-03-24,2637051.830208333,8172638.371651893,,,2.641239730798884,
2022-03-25,2389843.230902778,7484976.795561709,,,2.8064559208532835,
2022-03-26,2346135.306597222,7209630.64454807,,,2.911986076730555,
2022-03-27,2329538.5267361114,7114560.871221801,,,3.2629246461711037,
2022-03-28,2508955.691666667,8308390.426398041,,,3.9804872381334784,
2022-03-29,2438867.9385416666,8153801.128788988,,,4.094559727391218,
2022-03-30,2607906.0524305557,8961680.398013987,,,4.203007223476367,
2022-03-31,2526033.794791667,8835307.82671785,,,4.389972199471652,
2022-04-01,2371542.280902778,8214212.639286768,,,4.494900241699318,
2022-04-02,2404503.356944444,8861830.418766996,,,4.218675565047701,
2022-04-03,2389095.9152777777,8620741.12112627,,,4.083296615440793,
2022-04-04,2422724.0819444447,8435795.217214633,,,4.331809768965135,
2022-04-05,2282898.2774305553,7901417.728279854,,,4.2184195673697715,
2022-04-06,2130028.2125000004,6730849.477559661,,,3.2392272080369597,
2022-04-07,1959581.0545138891,5954494.8621041635,,,3.3401348972418394,
2022-04-08,2018864.131597222,6138466.370529439,,,3.256003796208878,
2022-04-09,1952326.4496527778,5703743.594140643,,,3.3076488759169376,
2022-04-10,1923831.4541666666,5655395.823421793,,,3.4832065345131915,
2022-04-11,2093643.5086805555,5837747.161381756,,,2.9032453604160287,
2022-04-12,2030734.597916667,5615031.844115261,,,3.1972786167122855,
2022-04-13,2076199.5229166667,5774457.3656335175,,,3.562634197393965,
2022-04-14,2032036.0631944446,5638285.842069938,,,3.866450697139866,
2022-04-15,2024909.230208333,5527171.085174446,,,3.739665223065125,
2022-04-16,2117684.5708333333,5753696.152275279,,,4.043790655813944,
2022-04-17,2186826.7565972223,5912627.575142947,,,3.8197412273363867,
2022-04-18,2106404.5350694447,5472433.529464003,,,3.4044343408021986,
2022-04-19,2099452.706597222,5648936.382139296,,,4.0708750686173705,
2022-04-20,2094688.5947916666,5731366.92481888,,,4.116180476414125,
2022-04-21,2147110.450694444,5853771.400052687,,,3.8676854280078072,
2022-04-22,2187042.1552083334,5745475.423564524,,,3.382770191847065,
2022-04-23,2283160.8336805557,5935525.840243822,,,3.3960805552384348,
2022-04-24,2286538.779861111,5948251.5860342365,,,3.244080617877755,
2022-04-25,2494932.795486111,6417559.240323633,,,2.688492782569546,
2022-04-26,2387249.7041666666,6101624.67956843,,,2.759200791714384,
2022-04-27,2336621.554861111,5721343.265651616,,,3.1291068235389896,
2022-04-28,2382756.0753472224,5868571.410703991,,,3.2851236273477125,
2022-04-29,2570630.057638889,6128759.758658467,,,3.0037612539029674,
2022-04-30,2488669.335763889,5715310.259842811,,,3.00908854824865,
2022-05-01,2302755.496527778,4960571.888076691,3.4330218068535827,1.0656378316,2.8907053242715484,
2022-05-02,2324991.7097222223,5074934.275787856,,,3.0615354051344976,
2022-05-03,2405679.942361111,5249139.406150358,,,2.9584442138717915,
2022-05-04,2415800.287152778,5279143.882039071,,,2.839732914477144,
2022-05-05,2533094.2454861114,5458083.941089184,,,3.2129330954218123,
2022-05-06,2758383.610763889,5596581.355445343,,,2.726847135993212,
2022-05-07,2964168.980902778,5884823.01650685,,,2.6354863830574278,
2022-05-08,3000548.2750000004,5709434.048502222,,,2.658838420281464,
2022-05-09,2853308.6472222223,5016336.469653841,,,2.444536459217507,0.9818619048659293
2022-05-10,2518545.957986111,4145007.753186432,,,2.32978181047834,0.9819881177537038
2022-05-11,2540871.783333333,3728383.4190828684,,,1.9020697397042798,1.0744444104304762
2022-05-12,2631178.9875,3312777.775379445,,,1.462526905613484,1.025701623960764
2022-05-13,2308390.923611111,3046219.2381476327,,,1.8015550257835824,1.0790436493940971
2022-05-14,2170775.71875,2723529.9848444257,,,1.7082875938421929,1.4676806095225696
2022-05-15,2075433.3197916667,2665771.8577975724,,,1.877685001475946,1.4365295441371526
2022-05-16,2117086.4888888886,2658895.425532913,,,1.8650916520069967,1.256341026917361
2022-05-17,2123381.4680555556,2717057.7515253946,,,2.0593193370678655,1.5621728730940974
2022-05-18,2318946.5118055553,2855142.7278744695,,,1.9923766666842024,1.311969295265972
2022-05-19,2875398.882986111,3346426.179168924,,,1.9983589314434225,1.184647427282986
2022-05-20,3471854.420486111,3882126.1209694105,,,2.2734665328536274,1.17904297655
2022-05-21,3436822.038888889,3671459.7259324472,,,2.5120101157322394,1.3440722138305556
2022-05-22,3524074.91875,3794684.401183034,,,2.7931247141003164,1.4768447426968752
2022-05-23,3607861.0833333335,3926524.244371277,,,2.9014290523133557,1.2201870914968749
2022-05-24,3932870.9576388886,3935436.9774930454,,,2.7538628901367077,1.163583963922222
2022-05-25,3981715.8236111114,3947231.7232819954,,,2.58167340102207,1.3318875158177084
2022-05-26,4068463.257638889,3799057.716838049,,,2.2192111991628827,1.2793608968604167
2022-05-27,3819736.964583333,3391626.4782460732,1.9191216434238472,0.8053351230083333,1.9017771799612402,1.1274747248260415
2022-05-28,3692951.7618055553,3344323.775816914,1.9636793826504924,0.8157637467041667,1.9374310538038901,2.093628847305694
2022-05-29,3744828.377430556,3463273.471496098,2.060664731468289,0.8233965534229166,2.016450015408717,1.4168445379284722
2022-05-30,3556793.231944444,3503020.104507421,2.3011247768604415,0.842144547829514,2.2108530566931455,1.4443987109267362
2022-05-31,3480027.3899305556,3542230.2317457255,2.2457671409525806,0.7648039977315972,2.279831371448259,1.3207911935298613
2022-06-01,3851905.847569444,3747881.9432632383,2.3305768547099257,0.8362490119909722,2.22573978604887,1.3321783158350695
2022-06-02,3970505.269097222,3654798.180754465,2.0204527074824328,0.813768995078125,1.9842071725398567,1.2487902186673612
2022-06-03,3940233.758333334,3553865.8342341464,2.110981528558055,0.8108613335565972,2.043928419016028,1.3860107196972222
2022-06-04,4158368.885069445,3609696.3326417203,2.233515246501911,0.816270167390625,2.3228405352965105,1.3958543718243055
2022-06-05,4151468.353472222,3613450.942409605,2.3344341453162203,0.8121238764222222,2.4512298688064535,1.7550871996402777
2022-06-06,4099151.3920138893,3810507.357614022,2.5109124541519527,0.7942747284444445,2.663932072132098,1.1264380421625
2022-06-07,4303906.782986111,3778380.779991761,2.2834651894189886,0.757778872792014,2.5254105462335605,1.261800012970486
2022-06-08,4104704.2704861113,3682473.3969487455,2.699193092698582,0.7774424102732639,2.6797211811164194,1.2500421384590277
2022-06-09,3953065.1281250003,3539344.368125036,2.3698026436444306,0.7901689558652778,2.3848777377977015,1.3774256290288196
2022-06-10,3980227.755555555,3375304.859151681,2.2428300635597416,0.7873892436802084,2.387148409131024,1.2728352016347222
2022-06-11,4088343.6374999997,3189651.9658342595,2.0046734550508574,0.7794820199486111,2.15309630226168,1.8225847465822917
2022-06-12,4287748.210416666,3213688.1321575376,1.7498266576931323,0.7632091027881944,1.7868573317991465,1.2664462633121527
2022-06-13,4576041.442708333,3146400.2152784723,1.4615441239566722,0.7083765535378472,1.4543247040220304,1.0443106232802082
2022-06-14,3681620.6194444443,2569104.208862607,1.5233274841096216,0.6761126712798612,1.5391669243575983,1.221800840165625
2022-06-15,3730234.9000000004,2537954.139523359,1.7232651920175661,0.6673344523579862,1.752329916637783,1.073590654020486
2022-06-16,3486476.2701388886,2414238.295585806,1.7754083145536306,0.6932618252944445,1.7295201919037273,1.3782357074944445
2022-06-17,3686907.9024305553,2487032.7033071616,1.726756037946492,0.7052257183697916,1.83491929308101,1.4285628834503472
2022-06-18,4337404.890277778,2737536.8117075614,1.863598665826527,0.7453662102524305,2.0225921272963463,1.902312925225
2022-06-19,4082298.482638889,2647731.6675199387,1.7430546710671935,0.7646747253593751,1.7915245441317778,1.3911762204777778
2022-06-20,3030498.5125,2117978.886377026,1.9631292254216564,0.7249680714763889,1.8742458501289347,1.3052567011694445
2022-06-21,2954421.781597222,2162116.3293344956,2.147035322218479,0.7277928048270833,2.0764470618306814,1.389982596110764
2022-06-22,3375996.8548611114,2327178.687486089,1.897441999230388,0.8077312245475694,1.8625581103920892,1.3888249349586805
2022-06-23,3044321.172222222,2157471.73713951,2.0663443455640516,0.8043378811756945,2.0938406179459887,1.301982384851736
2022-06-24,2731840.5128472224,2051385.1156281962,2.2686356605244717,0.8961820801829016,2.2412619342612263,1.5571647830354167
2022-06-25,2840497.28125,2140154.0428408063,,,2.365664765699887,1.629913389240625
2022-06-26,2954468.421527778,2236959.615402603,,,2.397112292520352,1.5797665540128472
2022-06-27,3295955.626388889,2371506.104072968,2.174546569803871,0.9746835402583334,2.3275259138523876,1.3795305160059028
2022-06-28,3298811.371875,2299952.7930071405,,,2.4761652469995057,1.2328265480583331
2022-06-29,3297648.08125,2200977.2740265024,,,2.3891803306216506,1.4600065302795138
2022-06-30,3475304.2104166667,2209913.109005576,,,2.1904717889745338,1.215735113070486
2022-07-01,3167522.3972222223,2063959.1117494735,,,2.2319888299851276,1.521399813325
