date,oi,oi_value,toptrader_acc_ls,toptrader_pos_ls,global_acc_ls,taker_ls
2021-12-01,216987408.9965278,73123766.37914483,2.7359007819988883,0.8914935010531251,3.127693042638442,1.0223192103527776
2021-12-02,218280068.14583334,71600150.94284916,3.234344120741463,0.8866045784798611,3.7284231582526113,1.0078607156725694
2021-12-03,238113005.36805555,82175041.99438173,2.4962994097664013,0.9005684571194446,2.7624676714282552,1.0006134184298612
2021-12-04,196100466.8736842,56487409.90428219,2.9393211971246855,0.9388020338080703,3.0959120582633664,0.9381988513617543
2021-12-05,167165230.80555555,46123956.77466579,2.5946366162163836,0.9241567551711805,2.7125577959263976,1.0144824577791667
2021-12-06,159054609.5173611,42979888.032386646,2.346715989376495,0.9104758900913195,2.4996437485138037,1.067772810432639
2021-12-07,153048937.8715278,44405264.09713684,1.9701222823889013,0.9016366944673612,2.137811597039038,1.0336194030850694
2021-12-08,150773606.29166666,44632151.946183994,1.801870514451623,0.8998155573034722,1.9931517859228325,1.0772636513496527
2021-12-09,151157095.53819445,43617250.1237029,2.526184385570021,0.838380894009375,2.739008490318836,1.00726451343125
2021-12-10,150582697.2465278,40984956.89670816,3.1824317425224304,0.8469150177621528,3.451872490792331,1.0429462460256944
2021-12-11,141380907.5972222,38311724.54224165,2.4941394821241953,0.856798286228125,2.776293115366019,1.1213724667399305
2021-12-12,137093058.9340278,37477033.80485876,2.4064282934603756,0.8700560351072917,2.6741186275024145,1.1231832518190972
2021-12-13,139560795.4722222,36486719.128595725,2.8282961533772935,0.8573200014756944,3.134471491389017,0.9992392718065973
2021-12-14,148918498.03819445,38452269.4197103,2.3699285661464224,0.8650119814857639,2.6395227505349244,1.1108640867621529
2021-12-15,152177164.15679443,39548785.12029118,2.179557766170354,0.864540825020209,2.376789862594321,1.0736529138658537
2021-12-16,157257680.15625,41917076.51507298,1.9546507175954997,0.8813552763930556,2.075781957930153,1.1193778273524306
2021-12-17,160556339.80208334,40980811.71689956,2.677358986980392,0.8509001714756944,2.9049957315849624,1.106532117367361
2021-12-18,162264421.9375,42074386.69677112,2.270580566420735,0.8805599337937501,2.540053642360725,1.09771341681875
2021-12-19,166022223.0277778,42992981.35627946,2.3472308408641394,0.866564249629514,2.612212988494252,1.081232046771528
2021-12-20,172186802.2152778,44701347.93783028,2.217429570423713,0.8845471915430555,2.490302058543239,1.062703605564236
2021-12-21,176126858.6597222,46305766.39047593,2.146592860136459,0.8772364104701389,2.459017514710157,1.0502055221277777
2021-12-22,177507868.65625,48279929.57830337,1.7395581660945796,0.88550685613125,1.9711837133325183,1.142050216754514
2021-12-23,181212225.7951389,50130669.83753404,1.711762437560465,0.8974773947420138,1.9682615584181735,1.09712486081875
2021-12-24,179516836.7770035,50742031.63390932,1.7198561690825436,0.9010668277463414,1.9403363830834133,1.0296603754383276
2021-12-25,187356430.0451389,54011556.10053123,1.5315269101201532,0.9188395224711806,1.750524027955357,1.1777482241284722
2021-12-26,188004878.92708334,54371238.11944207,1.5632195282565688,0.9230658118885418,1.7947977920954916,1.0031065595798612
2021-12-27,193856569.7361111,57867072.97207734,1.6493949193137047,0.9245669238986112,1.862971050616125,1.1229514483736112
2021-12-28,191055573.8090278,54453541.8112887,2.1584525692987175,0.9177515376527777,2.3222466984995545,1.0262982340052083
2021-12-29,179755937.85714287,49391049.55190809,2.9273521187207217,0.9331363888648083,3.022860623972669,1.0441517959979094
2021-12-30,174728840.75,46969604.089355424,3.442066049652361,0.9294203525822857,3.5816455330513475,1.1005855022862856
2021-12-31,173552982.86062717,46786174.487690024,,,,
2022-01-01,169575080.9861111,46059870.69197895,,,,
2022-01-02,171440853.0798611,48814228.67518421,,,,
2022-01-03,177749681.4375,51722641.6781212,,,,
2022-01-04,167103363.6076389,47403206.15095691,,,,
2022-01-05,167129512.8263889,47544356.42409954,,,,
2022-01-06,161797332.94791666,43070102.969676614,,,,
2022-01-07,160380055.29166666,41672027.32188943,,,,
2022-01-08,163115635.6423611,42110570.06093058,,,,
2022-01-09,158647529.125,41070374.8667998,,,,
