date,funding_sum,funding_mean,n
2026-04-22,-0.00024533,-0.000122665,2
2026-04-23,-0.00011463,-3.821e-05,3
2026-04-24,0.00013976,4.6586666666666666e-05,3
2026-04-25,3.0179999999999992e-05,1.0059999999999997e-05,3
2026-04-26,6.579999999999998e-06,2.193333333333333e-06,3
2026-04-27,-7.100999999999999e-05,-2.3669999999999995e-05,3
2026-04-28,0.00022812,7.604e-05,3
2026-04-29,6.523999999999999e-05,2.1746666666666663e-05,3
2026-04-30,0.00016502,5.500666666666666e-05,3
2026-05-01,9.688e-05,3.229333333333333e-05,3
2026-05-02,8.667e-05,2.889e-05,3
2026-05-03,-0.00022724,-7.574666666666667e-05,3
2026-05-04,-0.00028423,-9.474333333333333e-05,3
2026-05-05,-0.00018341,-6.113666666666667e-05,3
2026-05-06,0.00019524,6.508000000000001e-05,3
2026-05-07,0.00024270000000000002,8.09e-05,3
2026-05-08,0.00015931,5.310333333333333e-05,3
2026-05-09,7.283e-05,2.4276666666666667e-05,3
2026-05-10,8.65e-06,2.8833333333333334e-06,3
2026-05-11,0.00030000000000000003,0.0001,3
2026-05-12,0.00018623,6.207666666666667e-05,3
2026-05-13,9.631e-05,3.2103333333333335e-05,3
2026-05-14,0.0001546,5.153333333333333e-05,3
2026-05-15,-5.707e-05,-1.9023333333333335e-05,3
2026-05-16,0.00013898,4.6326666666666665e-05,3
2026-05-17,3.453e-05,1.1510000000000002e-05,3
2026-05-18,2.581e-05,8.603333333333333e-06,3
2026-05-19,2.789e-05,9.296666666666667e-06,3
2026-05-20,-0.00045617,-0.00015205666666666666,3
2026-05-21,-0.00094346,-0.0003144866666666667,3
2026-05-22,-0.0004974000000000001,-0.00016580000000000002,3
2026-05-23,-0.00015132,-5.0440000000000005e-05,3
2026-05-24,-0.0003043,-0.00010143333333333334,3
2026-05-25,-2.95e-05,-9.833333333333333e-06,3
2026-05-26,6.824000000000001e-05,2.274666666666667e-05,3
2026-05-27,0.00012394,4.1313333333333336e-05,3
2026-05-28,0.00020001,6.667e-05,3
2026-05-29,6.144e-05,2.0479999999999997e-05,3
2026-05-30,-8.782e-05,-2.9273333333333333e-05,3
2026-05-31,-0.00033903,-0.00011300999999999999,3
2026-06-01,-0.00024745,-8.248333333333334e-05,3
2026-06-02,-2.963e-05,-9.876666666666666e-06,3
2026-06-03,0.00014948,4.982666666666667e-05,3
2026-06-04,-0.00104229,-0.00034742999999999997,3
2026-06-05,0.00026657,8.885666666666666e-05,3
2026-06-06,-0.00220713,-0.00073571,3
2026-06-07,-0.0016587799999999999,-0.0005529266666666667,3
2026-06-08,-0.0027370700000000003,-0.0009123566666666668,3
2026-06-09,-0.00260371,-0.0008679033333333333,3
2026-06-10,-0.00185226,-0.00061742,3
2026-06-11,-0.00140183,-0.00046727666666666667,3
2026-06-12,-0.00037598000000000004,-0.00012532666666666668,3
2026-06-13,-0.0004241,-0.00014136666666666667,3
2026-06-14,-0.0005560200000000001,-0.00018534,3
2026-06-15,7.308999999999999e-05,2.436333333333333e-05,3
2026-06-16,1.768000000000001e-05,5.893333333333337e-06,3
2026-06-17,-0.00015031000000000002,-5.010333333333334e-05,3
2026-06-18,-0.00058273,-0.00019424333333333335,3
2026-06-19,-0.00052764,-0.00017588,3
2026-06-20,-0.0008954099999999999,-0.00029846999999999995,3
2026-06-21,-0.00102499,-0.0003416633333333333,3
2026-06-22,-0.00117592,-0.0003919733333333333,3
2026-06-23,-0.00023388,-7.796e-05,3
2026-06-24,-0.0001575,-5.25e-05,3
2026-06-25,0.00016072000000000002,5.357333333333334e-05,3
2026-06-26,0.000274,9.133333333333334e-05,3
2026-06-27,0.00030000000000000003,0.0001,3
