lever,IS_sharpe,IS_cagr,IS_dd,PF_d,WR_d,PF_w,WR_w,PF_m,WR_m,verdict
BASE APEX (7bps),1.71,0.9278,-0.3807,1.2971539120953084,0.5078864353312302,1.965361643578484,0.5570175438596491,3.866477997866942,0.6226415094339622,
C1 maker costs 4bps,1.778,0.9861,-0.3743,1.310750787890234,0.5085173501577287,2.020507168674602,0.5614035087719298,4.113296832550951,0.6226415094339622,ACCEPT
C2 deadband 0.25,1.729,0.9434,-0.3815,1.3007905614476434,0.5085173501577287,1.972858598211104,0.5614035087719298,3.9358098360108964,0.6226415094339622,ACCEPT
C2 deadband 0.5,1.69,0.9092,-0.3512,1.2932908741746223,0.5059936908517351,1.951080952334815,0.5614035087719298,4.019057249598255,0.6226415094339622,reject
C3 smoothing 2x spans,1.65,0.8762,-0.3973,1.2873683917302479,0.5148264984227129,1.9134705806240901,0.5745614035087719,4.002495125504229,0.6226415094339622,reject
S1 A/B agreement scaling,1.569,0.7849,-0.3816,1.2669600728731674,0.5085173501577287,1.8492446439062407,0.5526315789473685,3.4509692972193062,0.6037735849056604,reject
S2 conviction floor q=0.2,1.711,0.9327,-0.3793,1.2969133888097564,0.5091482649842272,1.966133799280537,0.5526315789473685,3.935712086708525,0.6226415094339622,ACCEPT
S2 conviction floor q=0.3,1.705,0.9358,-0.3766,1.2972364048379743,0.5110410094637224,1.9734118400174285,0.5789473684210527,3.9485198675430024,0.6415094339622641,ACCEPT
S3 funding tilt lam=0.1,1.71,0.9278,-0.3807,1.2971539120953084,0.5078864353312302,1.965361643578483,0.5570175438596491,3.8664779978669457,0.6226415094339622,reject
S3 funding tilt lam=0.2,1.71,0.9278,-0.3807,1.2971539120953084,0.5078864353312302,1.965361643578483,0.5570175438596491,3.8664779978669457,0.6226415094339622,reject
S4 skip dust days,1.74,0.9521,-0.3807,1.3037210603217646,0.5079164027865738,1.996107307800449,0.5550660792951542,4.047205957706469,0.6153846153846154,ACCEPT
P1 downside-vol targeting,1.66,1.2049,-0.4455,1.2927631263408161,0.5078864353312302,1.941713218100565,0.5526315789473685,3.9963897865839413,0.6226415094339622,reject
P2 trailing throttle 25%/x0.5,1.686,0.8953,-0.3209,1.2985245970222083,0.5078864353312302,1.980092171051378,0.5570175438596491,3.9712044607950356,0.6037735849056604,ACCEPT
