month,p05,p25,median,p75
1,71.0,86.0,104.0,127.0
2,68.0,84.0,106.0,144.0
3,66.0,85.0,110.0,161.0
4,65.0,86.0,115.0,175.0
5,65.0,88.0,121.0,191.0
6,65.0,90.0,128.0,207.0
7,65.0,93.0,136.0,227.0
8,64.0,96.0,143.0,250.0
9,64.0,98.0,153.0,270.0
10,65.0,101.0,162.0,295.0
11,66.0,105.0,171.0,316.0
12,66.0,108.0,181.0,341.0
13,67.0,112.0,195.0,368.0
14,67.0,115.0,205.0,398.0
15,68.0,119.0,217.0,426.0
16,69.0,126.0,230.0,455.0
17,70.0,131.0,242.0,490.0
18,70.0,138.0,259.0,533.0
19,72.0,142.0,275.0,577.0
20,73.0,149.0,291.0,619.0
21,75.0,155.0,310.0,673.0
22,77.0,164.0,325.0,724.0
23,79.0,171.0,348.0,782.0
24,79.0,178.0,367.0,838.0
25,81.0,186.0,391.0,893.0
26,83.0,197.0,416.0,966.0
27,85.0,204.0,439.0,1037.0
28,88.0,212.0,462.0,1116.0
29,88.0,220.0,486.0,1200.0
30,90.0,232.0,519.0,1299.0
31,93.0,241.0,548.0,1392.0
32,94.0,252.0,584.0,1489.0
33,97.0,262.0,611.0,1584.0
34,98.0,271.0,647.0,1738.0
35,101.0,287.0,688.0,1853.0
36,104.0,298.0,719.0,1962.0
37,107.0,313.0,764.0,2097.0
38,111.0,327.0,807.0,2258.0
39,116.0,341.0,854.0,2409.0
40,118.0,359.0,903.0,2571.0
41,122.0,373.0,953.0,2715.0
42,127.0,388.0,1010.0,2952.0
43,133.0,413.0,1070.0,3121.0
44,134.0,435.0,1150.0,3359.0
45,138.0,447.0,1202.0,3608.0
46,145.0,472.0,1284.0,3863.0
47,148.0,489.0,1365.0,4128.0
48,155.0,515.0,1460.0,4490.0
