month,p05,p25,median,p75
1,76.0,93.0,108.0,127.0
2,72.0,95.0,119.0,152.0
3,69.0,100.0,132.0,180.0
4,67.0,105.0,145.0,209.0
5,67.0,111.0,162.0,245.0
6,69.0,118.0,178.0,278.0
7,68.0,127.0,197.0,323.0
8,71.0,135.0,220.0,370.0
9,73.0,145.0,245.0,431.0
10,76.0,155.0,270.0,487.0
11,80.0,167.0,300.0,552.0
12,82.0,180.0,331.0,638.0
13,83.0,193.0,366.0,707.0
14,87.0,209.0,408.0,821.0
15,89.0,227.0,452.0,924.0
16,94.0,246.0,501.0,1074.0
17,100.0,263.0,559.0,1220.0
18,105.0,287.0,623.0,1353.0
19,109.0,315.0,693.0,1548.0
20,114.0,342.0,762.0,1751.0
21,122.0,373.0,855.0,1991.0
22,129.0,402.0,948.0,2251.0
23,139.0,445.0,1055.0,2565.0
24,147.0,481.0,1174.0,2851.0
25,156.0,516.0,1296.0,3247.0
26,167.0,570.0,1435.0,3638.0
27,177.0,622.0,1599.0,4147.0
28,188.0,678.0,1777.0,4621.0
29,199.0,743.0,1971.0,5318.0
30,206.0,808.0,2199.0,5973.0
31,221.0,875.0,2456.0,6730.0
32,242.0,970.0,2699.0,7639.0
33,259.0,1057.0,2984.0,8435.0
34,278.0,1155.0,3260.0,9548.0
35,304.0,1261.0,3608.0,10973.0
36,316.0,1371.0,4002.0,12311.0
37,338.0,1497.0,4491.0,14027.0
38,359.0,1622.0,5062.0,15201.0
39,383.0,1810.0,5666.0,17541.0
40,422.0,1998.0,6298.0,19663.0
41,443.0,2174.0,6840.0,22271.0
42,474.0,2371.0,7604.0,25462.0
43,507.0,2621.0,8344.0,28478.0
44,532.0,2839.0,9509.0,32295.0
45,564.0,3163.0,10454.0,36237.0
46,621.0,3509.0,11684.0,41018.0
47,699.0,3854.0,12922.0,46155.0
48,707.0,4249.0,14591.0,52133.0
