month,base_p25,base_median,base_p75,conservative_median,bad_case_p05
1,112.0,131.0,156.0,122.0,91.0
2,115.0,145.0,189.0,125.0,85.0
3,121.0,163.0,223.0,131.0,82.0
4,128.0,180.0,261.0,134.0,81.0
5,136.0,201.0,308.0,139.0,82.0
6,146.0,224.0,359.0,144.0,84.0
7,158.0,250.0,416.0,150.0,86.0
8,171.0,282.0,483.0,157.0,89.0
9,184.0,315.0,551.0,163.0,91.0
10,202.0,359.0,642.0,172.0,94.0
11,219.0,399.0,740.0,178.0,98.0
12,240.0,453.0,865.0,187.0,101.0
13,262.0,502.0,1005.0,193.0,106.0
14,287.0,560.0,1143.0,200.0,110.0
15,316.0,622.0,1298.0,206.0,116.0
16,347.0,704.0,1497.0,217.0,125.0
17,377.0,776.0,1697.0,222.0,133.0
18,411.0,877.0,1938.0,233.0,142.0
19,454.0,992.0,2205.0,245.0,150.0
20,490.0,1093.0,2558.0,251.0,163.0
21,534.0,1220.0,2928.0,260.0,170.0
22,578.0,1386.0,3350.0,274.0,185.0
23,652.0,1537.0,3872.0,282.0,203.0
24,722.0,1725.0,4380.0,295.0,212.0
25,785.0,1935.0,4964.0,307.0,224.0
26,878.0,2201.0,5716.0,324.0,237.0
27,967.0,2456.0,6522.0,337.0,259.0
28,1078.0,2770.0,7298.0,352.0,270.0
29,1154.0,3070.0,8400.0,363.0,291.0
30,1277.0,3458.0,9540.0,379.0,317.0
31,1425.0,3884.0,10856.0,396.0,333.0
32,1562.0,4375.0,12369.0,414.0,361.0
33,1732.0,4826.0,13876.0,425.0,389.0
34,1901.0,5487.0,16017.0,449.0,412.0
35,2100.0,6187.0,18200.0,470.0,452.0
36,2299.0,6836.0,20447.0,483.0,505.0
37,2517.0,7782.0,23190.0,510.0,546.0
38,2773.0,8673.0,26194.0,528.0,587.0
39,3118.0,9601.0,30055.0,542.0,638.0
40,3419.0,10784.0,33650.0,567.0,684.0
41,3726.0,11928.0,38211.0,583.0,720.0
42,4143.0,13226.0,44172.0,600.0,773.0
43,4507.0,14952.0,49352.0,630.0,842.0
44,4949.0,16789.0,55390.0,657.0,929.0
45,5537.0,18735.0,62950.0,681.0,1017.0
46,6132.0,20830.0,72237.0,703.0,1072.0
47,6768.0,23235.0,81109.0,729.0,1182.0
48,7473.0,25835.0,94343.0,752.0,1255.0
