month,median,p25,p75,deposited,profit_median
1,330.0,282.0,393.0,300.0,30.0
2,478.0,388.0,606.0,400.0,78.0
3,651.0,512.0,849.0,500.0,151.0
4,835.0,644.0,1133.0,600.0,235.0
5,1055.0,786.0,1480.0,700.0,355.0
6,1297.0,943.0,1895.0,800.0,497.0
7,1577.0,1119.0,2354.0,900.0,677.0
8,1905.0,1319.0,2894.0,1000.0,905.0
9,2252.0,1531.0,3506.0,1100.0,1152.0
10,2688.0,1756.0,4276.0,1200.0,1488.0
11,3161.0,2010.0,5141.0,1300.0,1861.0
12,3681.0,2332.0,6244.0,1400.0,2281.0
13,4262.0,2619.0,7398.0,1500.0,2762.0
14,4945.0,2985.0,8603.0,1600.0,3345.0
15,5671.0,3361.0,9999.0,1700.0,3971.0
16,6586.0,3816.0,11766.0,1800.0,4786.0
17,7456.0,4225.0,13769.0,1900.0,5556.0
18,8554.0,4766.0,16242.0,2000.0,6554.0
19,9865.0,5363.0,18938.0,2100.0,7765.0
20,11069.0,5917.0,22150.0,2200.0,8869.0
21,12666.0,6513.0,25730.0,2300.0,10366.0
22,14335.0,7381.0,29772.0,2400.0,11935.0
23,16393.0,8220.0,35086.0,2500.0,13893.0
24,18883.0,9369.0,40134.0,2600.0,16283.0
25,21336.0,10315.0,45921.0,2700.0,18636.0
26,24074.0,11638.0,53827.0,2800.0,21274.0
27,27586.0,13033.0,61987.0,2900.0,24686.0
28,31233.0,14388.0,70819.0,3000.0,28233.0
29,35148.0,16105.0,81063.0,3100.0,32048.0
30,39849.0,17991.0,93886.0,3200.0,36649.0
31,45187.0,19983.0,108342.0,3300.0,41887.0
32,50915.0,22159.0,124712.0,3400.0,47515.0
33,58609.0,24591.0,142200.0,3500.0,55109.0
34,65095.0,27372.0,163980.0,3600.0,61495.0
35,73431.0,30177.0,188692.0,3700.0,69731.0
36,83363.0,32685.0,211345.0,3800.0,79563.0
37,94366.0,36644.0,244207.0,3900.0,90466.0
38,105368.0,41226.0,281987.0,4000.0,101368.0
39,117934.0,45981.0,326580.0,4100.0,113834.0
40,135664.0,51568.0,372389.0,4200.0,131464.0
41,148923.0,56812.0,424406.0,4300.0,144623.0
42,170631.0,62779.0,485703.0,4400.0,166231.0
43,188236.0,70321.0,551479.0,4500.0,183736.0
44,211427.0,77994.0,626686.0,4600.0,206827.0
45,237279.0,87304.0,713970.0,4700.0,232579.0
46,268810.0,95874.0,823861.0,4800.0,264010.0
47,299051.0,105375.0,937194.0,4900.0,294151.0
48,341195.0,118219.0,1067328.0,5000.0,336195.0
