month,balance_median,profit_this_month,likely_low_p25,likely_high_p75,conservative
1,328.0,28.0,280.0,390.0,305.0
2,362.0,34.0,288.0,472.0,312.0
3,408.0,46.0,302.0,558.0,328.0
4,450.0,42.0,320.0,652.0,335.0
5,502.0,52.0,340.0,770.0,348.0
6,560.0,58.0,365.0,898.0,360.0
7,625.0,65.0,395.0,1040.0,375.0
8,705.0,80.0,428.0,1208.0,392.0
9,788.0,83.0,460.0,1378.0,408.0
10,898.0,110.0,505.0,1605.0,430.0
11,998.0,100.0,548.0,1850.0,445.0
12,1132.0,134.0,600.0,2162.0,468.0
13,1255.0,123.0,655.0,2512.0,482.0
14,1400.0,145.0,718.0,2858.0,500.0
15,1555.0,155.0,790.0,3245.0,515.0
16,1760.0,205.0,868.0,3742.0,542.0
17,1940.0,180.0,942.0,4242.0,555.0
18,2192.0,252.0,1028.0,4845.0,582.0
19,2480.0,288.0,1135.0,5512.0,612.0
20,2732.0,252.0,1225.0,6395.0,628.0
21,3050.0,318.0,1335.0,7320.0,650.0
22,3465.0,415.0,1445.0,8375.0,685.0
23,3842.0,377.0,1630.0,9680.0,705.0
24,4312.0,470.0,1805.0,10950.0,738.0
25,4838.0,526.0,1962.0,12410.0,768.0
26,5502.0,664.0,2195.0,14290.0,810.0
27,6140.0,638.0,2418.0,16305.0,842.0
28,6925.0,785.0,2695.0,18245.0,880.0
29,7675.0,750.0,2885.0,21000.0,908.0
30,8645.0,970.0,3192.0,23850.0,948.0
31,9710.0,1065.0,3562.0,27140.0,990.0
32,10938.0,1228.0,3905.0,30922.0,1035.0
33,12065.0,1127.0,4330.0,34690.0,1062.0
34,13718.0,1653.0,4752.0,40042.0,1122.0
35,15468.0,1750.0,5250.0,45500.0,1175.0
36,17090.0,1622.0,5748.0,51118.0,1208.0
37,19455.0,2365.0,6292.0,57975.0,1275.0
38,21682.0,2227.0,6932.0,65485.0,1320.0
39,24002.0,2320.0,7795.0,75138.0,1355.0
40,26960.0,2958.0,8548.0,84125.0,1418.0
41,29820.0,2860.0,9315.0,95528.0,1458.0
42,33065.0,3245.0,10358.0,110430.0,1500.0
43,37380.0,4315.0,11268.0,123380.0,1575.0
44,41972.0,4592.0,12372.0,138475.0,1642.0
45,46838.0,4866.0,13842.0,157375.0,1702.0
46,52075.0,5237.0,15330.0,180592.0,1758.0
47,58088.0,6013.0,16920.0,202772.0,1822.0
48,64588.0,6500.0,18682.0,235858.0,1880.0
